Título,Autor(a),ISBN,Género,Estado
Percy Jackson y el ladrón del rayo,Rick Riordan,9789585305922,Fantasy,Read
Sherlock Holmes. Obras Completas (1917-1927),Arthur Conan Doyle,9788497944427,Literary,Read
Emma,Jane Austen,9789875669956,Literary,Read
Heartstopper 4. Más que palabras,Alice Oseman,9788408245070,Romance,Read
Susurros subterráneos,Ben Aaronovitch,9788417525828,Fantasy,Read
En el bosque,Alyssa Wees,9789877477412,Fantasy,Read
Antología de Relatos Románticos,VV. AA,9788417430955,Literary,Read
Fairest,Marissa Meyer,9789877471250,SciFi,Read
El susurro de la marea,Sarah Tolcser,9789877475388,Fantasy,Read
La esposa del prisionero,Maggie Brookes,9786070775727,Historical,Read
Pájaro blanco,R. J. Palacio,9788417605162,Historical,Read
Link,Natsuki Kizu,9788418222566,Romance,Read
Heartstopper 3,Alice Oseman,9781444952773,Romance,Read
Heartstopper 2. Mi persona favorita,Alice Oseman,9788408233169,Romance,Read
Los Casos de Monsieur Dupin,Edgar Allan Poe,9788415215479,Literary,Read
Oliver Twist,Charles Dickens,9788491054535,Literary,Read
Ana de las tejas verdes (Ana de las tejas verdes #1),Lucy Montgomery,9788418395628,Literary,Read
La abadía de Northanger,Jane Austen,9788491053750,Literary,Read
Las Aventuras de Sherlock Holmes,Arthur Conan Doyle,9788415618829,Literary,Read
Cuentos Mágicos Irlandeses,Roberto Rosaspini Reynolds,9789507540875,Literary,Read
La Rebelion de la Reina,Rebecca Ross,9788496886995,Fantasy,Read
Estudio En Escarlata,Arthur Conan Doyle,9788415618874,Literary,Read
Hija de Las Tinieblas,Kiersten White,9789877472721,Historical,Read
La Cancion de la Corriente,Sarah Tolcser,9789877473940,Fantasy,Read
Conjuro de luz,Victoria Schwab,9788445006030,Fantasy,Read
Concilio de Sombras,Victoria Schwab,9789569963551,Fantasy,Read
Las Memorias de Sherlock Holmes,Arthur Conan Doyle,9788418008061,Mystery Thriller & Crime,Read
Una magia más oscura,Victoria Schwab,9788445006016,Fantasy,Read
Heartsong (Green Creek #3),T. J. Klune,9789877477009,Fantasy,Read
Ravensong (Green Creek #2),T. J. Klune,9789877476606,Fantasy,Read
Wolfsong (Green Creek #1),T. J. Klune,9786078614455,Fantasy,Read
A dos metros de ti,Rachael Lippincott,9788417605063,Romance,Read
Jane Eyre,Charlotte Brontë,9788494446818,Literary,Read
Todo este tiempo,Rachael Lippincott,9788417605810,Romance,Read
El Castillo en Las Nubes,Kerstin Gier,9788416712779,Mystery Thriller & Crime,Read
Un monstruo viene a verme,Patrick Ness,9789871997107,Fantasy,Read
Harry Potter y las Reliquias de la Muerte,J.K Rowling,9789878000169,Fantasy,Read
Harry Potter y el misterio del príncipe,J.K Rowling,9789878000152,Fantasy,Read
Harry Potter y la Orden del Fenix,J.K Rowling,9789878000145,Fantasy,Read
Harry Potter Y La Cámara Secreta,J.K Rowling,9789878000114,Fantasy,Read
Harry Potter y la piedra filosofal,J.K Rowling,9789878000107,Fantasy,Read
Harry Potter y el Prisionero de Azkaban,J.K Rowling,9789878000121,Fantasy,Read
La Resistencia de la Reina,Rebecca Ross,9788492918706,Fantasy,Read
Harry Potter y el Cáliz de Fuego,J.K Rowling,9789878000138,Fantasy,Read
Extraña Gracia,Tessa Gratton,9786078614721,Fantasy,Read
Inferno,Dan Brown,9788804665373,Mystery Thriller & Crime,Read
Origen,Dan Brown,9786070743672,Mystery Thriller & Crime,Read
Trono de Cristal,Sarah J. Maas,9786073143714,Fantasy,Read
Corona de Medianoche,Sarah J. Maas,9786073143691,Fantasy,Read
Carry On,Rainbow Rowell,9789877382983,Fantasy,Read
Despues de ti [yo Antes de ti 2],Jojo Moyes,9789877254105,Romance,Read
Origin,Jennifer L. Armentrout,9788416096640,Fantasy,Read
Opposition,Jennifer L. Armentrout,9788416256327,Fantasy,Read
Yo antes de ti / Me Before You,Jojo Moyes,9781941999875,Romance,Read
Firelight,Sophie Jordan,9789876123808,Fantasy,Read
Opal,Jennifer L. Armentrout,9788415880745,Fantasy,Read
Heima Es Hogar en Islandes,Laia Soler,9788416256426,Fantasy,Read
Onyx,Jennifer L. Armentrout,9788415750710,Fantasy,Read
El Hijo de la Perdicion,Wendy Alec,9788466644105,Fantasy,Read
Obsidian,Jennifer L. Armentrout,9788415750826,Fantasy,Read
Hechicero (Spellslinger #1),Sebastien de Castell,9788427213388,Fantasy,Not Read
La casa de las tortugas,Amanda Churchill,9788410479760,Historical,Not Read
Jóvenes e imprudentes,Rachel Hawkins,9791387595029,Mystery Thriller & Crime,Not Read
El juego del escape,Tamara Moss,9791387711740,Mystery Thriller & Crime,Not Read
La reina de espinas (The Rose Bargain #2),Sasha Peyton Smith,9789689758365,Fantasy,Not Read
Sinfonía del trono mortal (Mousai #3),E.J. Mellow,9788408318569,Fantasy,Not Read
En este reino soy inmortal (Maggie the Undying #1),Ilona Andrews,9791387711894,Fantasy,Not Read
De Sangre y Fuego (The Bound and the Broken #1),Ryan Cahill,9791387711818,Fantasy,Not Read
El caballero y la polilla (The Stonewater Kingdom #1),Rachel Gillig,9791387711566,Fantasy,Not Read
Un escenario para villanos,Shannon J. Spann,9791387711665,Fantasy,Not Read
Hechizos y abismos (The Hidden Society #2),Ella Archer,9788414064139,Fantasy,Not Read
La fuerza de pocos (La Jerarquía #2),James Islington,9788410163959,Fantasy,Not Read
El canto del pájaro cautivo,Brooke Fast,9791387711764,,Not Read
Las esposas de los Romanov,Clare Mchugh,9788410479753,Historical,Not Read
Mi hogar lleva tu nombre,Cecilia Agüero,9788410479869,Historical,Not Read
Hijas de Shandong,Eve J. Chung,9788410479555,Historical,Not Read
La librería de los viernes,Sawako Natori,9789566451044,Literary,Not Read
Un Fuego en los Huesos (Waxways #3),Scott Reintgen,9788410479654,Fantasy,Not Read
Un susurro tras la pared  (Waxways #2),Scott Reintgen,9788410479821,Fantasy,Not Read
La colección de historias perdidas de Emily Wilde (Emily Wilde Enciclopedia de Hadas #3),Heather Fawcett,9788410085725,Fantasy,Not Read
Los Wycherley (The Wycherleys #1),Annaliese Avery,9791399022117,Fantasy,Not Read
El cielo ilimitado,Fonda Lee,9791387711511,Fantasy,Not Read
Orillas infinitas (Drowned Gods #3),Pascale Lacelle,9788410163935,Fantasy,Not Read
La Caída (Above the Black #3),Marc J. Gregson,9788410163195,SciFi,Not Read
Reino de ladrones (Edición Especial Limitada),Leigh Bardugo,9791387711986,Fantasy,Not Read
Seis de cuervos (Edición Especial Limitada),Leigh Bardugo,9791387711979,Fantasy,Not Read
La dama de las mentiras,K. M. Enright,9791388204012,Fantasy,Not Read
La caza nocturna,Alexandra Christo,9788445018682,Fantasy,Not Read
Manual de Panaderia Mágica Para Usar en Caso de Ataque,T. Kingfisher,9788412473094,Fantasy,Not Read
Coronas en llamas (Coronas Gemelas #3),Catherine Doyle,9791387711160,Fantasy,Not Read
Para el trono (Wilderwood #2),Hannah Whitten,9788419266897,Fantasy,Not Read
Cielos extraños (Drowned Gods #2),Pascale Lacelle,9788410163140,Fantasy,Not Read
El aliento de Dragón (Marcado por el aliento #1),Fonda Lee,9788410163973,Fantasy,Not Read
Albaoscura (The Nevernight Chronicle #3),Jay Kristoff,9788418440236,Fantasy,Not Read
El lamento del hielo,Costa Alcalá,9788418440922,Fantasy,Not Read
El canto de las ruinas,Costa Alcalá,9788418440250,Fantasy,Not Read
La música de los prodigios,Costa Alcalá,9788417834609,Fantasy,Not Read
Everfound (The Skinjacker Trilogy #3),Neal Shusterman,9788418440670,Fantasy,Not Read
Everwild (The Skinjacker Trilogy #2),Neal Shusterman,9788418440663,Fantasy,Not Read
Everlost (The Skinjacker Trilogy #1),Neal Shusterman,9788418440656,Fantasy,Not Read
Casa de corazones,Skyla Arndt,9786313006069,Fantasy,Not Read
La era de los héroes (La Triada #2),Nira Strauss,9788419988553,Fantasy,Not Read
La verdad sobre el caso del psiquiatra desaparecido,Tom Mead,9788410080362,Mystery Thriller & Crime,Not Read
El Superviviente de Auschwitz,Josef Lewkowicz,9788419620729,Historical,Not Read
La corte de la muerte,Rick Riordan,9788418594816,Fantasy,Not Read
Entre serpientes (Above the Black #2),Marc J. Gregson,9788410163188,SciFi,Not Read
Cruzanoches,R. M. Gray,9791387711252,Fantasy,Not Read
Canto de tormentos (Myths of the Empyrieos #1),Braidee Otto,9786313005314,Fantasy,Not Read
Aurora’s  End (The Aurora Cycle #3),Amie Kaufman,9788410085701,SciFi,Not Read
El despertar del Fuegoeterno (Kindred's Curse #1),Penn Cole,9788419621665,Fantasy,Not Read
Su rostro es el sol (Throne of Khetara #1),Michelle Jabès Corpora,9788427249455,Fantasy,Not Read
La sombra del zorro (Shadow of the Fox #1),Julie Kagawa,9788494841422,Fantasy,Not Read
El día después de todos,Juan Arcones,9788419975904,Romance,Not Read
La novia oscura (The Scarlet Veil #2),Shelby Mahurin,9788410239531,Fantasy,Not Read
Cuatro reinos rotos (The Broken Blades #2),Mai Corland,9788419988591,Fantasy,Not Read
Una infinidad de sueños,Mara Rutherford,9788410479920,Fantasy,Not Read
Tiempo de veneno,Mara Rutherford,9788419147585,Fantasy,Not Read
La señal de la plaga (The Blackthorn Key #2),Kevin Sands,9788494658747,Fantasy,Not Read
El alma de la espada (Shadow of the Fox #2),Julie Kagawa,9788412056013,Fantasy,Not Read
La noche del dragón (Shadow of the Fox #3),Julie Kagawa,9788412199062,Fantasy,Not Read
Vil cazador del corazón (Vil dama de la fortuna #2),Chloe Gong,9788412725971,Mystery Thriller & Crime,Not Read
La niña halcón (Shadow Skye Series #1),Joseph Elliott,9788412030471,Fantasy,Not Read
Medusa. La chica detrás del mito,Jessie Burton,9786075575445,Fantasy,Not Read
Éramos Tres Niños Perdidos en la Niebla,Ruperto Long,9788410274174,Historical,Not Read
La narradora (The Reader Trilogy #3),Traci Chee,9788412030402,Fantasy,Not Read
La oradora (The Reader Trilogy #2),Traci Chee,9788494799730,Fantasy,Not Read
La lectora (The Reader Trilogy #1),Traci Chee,9788494551789,Fantasy,Not Read
Hombre muerto en una zanja (Serie Los archivos de Fetch Phillips #2),Luke Arnold,9789878474366,Fantasy,Not Read
La república del dragón (La guerra de la Amapola #2),R.F. Kuang,9788419266910,Fantasy,Not Read
El carnicero del bosque,Premee Mohamed,9791399052145,Fantasy,Not Read
Los sellos oscuros (Dark Sigils #1),Anna Benning,9788418027956,Fantasy,Not Read
El lobo y la serpiente (Dark Inheritance Trilogy #1),Rebecca Robinson,9788427054448,Fantasy,Not Read
La dama de la oscuridad (Lady of Darkness #1),Melissa K. Roehrich,9788419988225,Fantasy,Not Read
Un pacto de almas perdidas,Vanessa R. Migliore,9788419988300,Fantasy,Not Read
Faebound (Faebound #1),Saara El-Arifi,9788419988287,Fantasy,Not Read
La casa de los latidos (The Kingdom of Crows #2),Olivia Wildenstein,9788419988485,Fantasy,Not Read
La era de los reyes (La Triada #1),Nira Strauss,9788419988249,Fantasy,Not Read
Aurora (La Academia #2),Nerea Llanes,9788408305491,Fantasy,Not Read
El príncipe de los dragones (Flame & Arrow #1),Sandra Grauer,9788410399143,Fantasy,Not Read
La teoría de Kim (La teoría de Kim #2),Jay Sandoval,9789566419013,Fantasy,Not Read
Asesinato en el Brightwell (Colección Cozy Mystery # 38),Ashley Weaver,9788410206427,Mystery Thriller & Crime,Not Read
Mis días en el Café Torunka,Satoshi Yagisawa,9789566402381,Literary,Not Read
Los lobos de oro (The Gilded Wolves #1),Roshani Chokshi,9788418002199,Fantasy,Not Read
Las serpientes de plata (The Gilded Wolves #2),Roshani Chokshi,978841800220,Fantasy,Not Read
Las bestias de bronce (The Gilded Wolves #3),Roshani Chokshi,9788418002212,Fantasy,Not Read
El Cortejo de Bristol Keats (El Cortejo de Bristol Keats #1),Mary E. Pearson,9788410163911,Fantasy,Not Read
Danza del mar en llamas (Mousai #2),E.J. Mellow,9788408310440,Fantasy,Not Read
Las Doce Cruces de Bellevue,Pedro Godoy,9789566386926,Fantasy,Not Read
Las Runas Eternas,Diego Tamayo Quezada,9789566420248,Fantasy,Not Read
Niebla de Fuego,Krishna Villegas Andrade,9789566420316,Fantasy,Not Read
Leyendas de Kalomaar: La Venganza de la Reina,Alberto Rojas M.,9789566420514,Fantasy,Not Read
El Descenso del Guardián,Romina Merchak,9789566420521,Fantasy,Not Read
Alma y cuatro elementos,Natalia P. Órdenes,9789566420507,Fantasy,Not Read
Ápohnin: El Idioma del Relámpago,J. J. Torrico,9789566420194,Fantasy,Not Read
Vil dama de la fortuna (Vil dama de la fortuna #1),Chloe Gong,9788412669732,Mystery Thriller & Crime,Not Read
La voluntad de muchos(La Jerarquía #1),James Islington,9788410163942,Fantasy,Not Read
Anillos y estrellas (The Hidden Society #1),Jude Archer,9788414065396,Fantasy,Not Read
El secreto de Gaudlin Hall,John Boyne,9788498385779,Historical,Not Read
La casa de los aleteos (The Kingdom of Crows #1),Olivia Wildenstein,9788419988201,Fantasy,Not Read
Cinco armas rotas (The Broken Blades #1),Mai Corland,9788419988324,Fantasy,Not Read
Un último instante contigo,Naoko Higashi,9789566463009,Literary,Not Read
El coleccionista de historias,Alyson Richman,9789564088662,Historical,Not Read
Dos coronas retorcidas (The Shepherd King #2),Rachel Gillig,9788410163867,Fantasy,Not Read
La casa de las grietas,Krystal Sutherland,9788412365597,Fantasy,Not Read
Rey de corazones,Hanna Krall,9788493920036,Historical,Not Read
Magia Sombría(Shadow Magic #1),Joshua Khan,9786075271286,Fantasy,Not Read
Magia de ensueño (Shadow Magic #2),Joshua Khan,9786075275109,Fantasy,Not Read
Magia Ígnea (Shadow Magic #3),Joshua Khan,9788412056075,Fantasy,Not Read
La niña cuervo (Shadow Skye Series #2),Joseph Elliott,9788412365511,Fantasy,Not Read
Mareas infinitas (Mareas #2),Ángela G. Sanjuán,9788410479562,Fantasy,Not Read
Mareas de altura (Mareas #1),Ángela G. Sanjuán,9788410479890,Fantasy,Not Read
El príncipe cruel (Los habitantes del aire #1),Holly Black,9791387711443,Fantasy,Not Read
El rey malvado (Los habitantes del aire #2),Holly Black,9791387711450,Fantasy,Not Read
La reina de la nada (Los habitantes del aire #3),Holly Black,9791387711467,Fantasy,Not Read
La Busqueda Del Asesino (Trilogia Del Vatidico #3),Robin Hobb,9788419680976,Fantasy,Not Read
Asesino Real (Trilogia Del Vatidico #2),Robin Hobb,9788419680969,Fantasy,Not Read
Aprendiz De Asesino (Trilogia Del Vatidico #1),Robin Hobb,9788419680877,Fantasy,Not Read
Inmortal,Sue Lynn Tan,9788410085527,Fantasy,Not Read
Hijas de la niebla (Minotauro),Lydia Gregovic,9788445018699,Fantasy,Not Read
La canción de la lluvia eterna (Mousai #1),E.J. Mellow,9788408305682,Fantasy,Not Read
Las invocaciones,Krystal Sutherland,9788412908732,Fantasy,Not Read
El último unicornio,Peter S. Beagle,9786075840543,Fantasy,Not Read
Un Segundo Amor (La nación de las bestias #0),Mariana Palova,9788412365535,Fantasy,Not Read
Luna de hueso (La nación de las bestias #3),Mariana Palova,9788412669770,Fantasy,Not Read
Leyenda de fuego y plomo (La nación de las bestias #2),Mariana Palova,9788412294019,Fantasy,Not Read
El señor del Sabbath (La nación de las bestias #1),Mariana Palova,9788412030440,Fantasy,Not Read
Sanctas: Estudio de una mentira,Patricia Ibárcena,9788410085800,Fantasy,Not Read
La liga de los mentirosos (The League of Liars #1),Astrid Scholte,9788419939166,Fantasy,Not Read
Gearbreakers (Gearbreakers #1),Zoe Hana Mikuta,9788419147523,SciFi,Not Read
La maldición del faraón (Colección Cozy Mistery #31),Elizabeth Peters,9788410206502,Mystery Thriller & Crime,Not Read
Los cien amores de Julieta,Evelyn Skye,9788419030634,Literary,Not Read
Harry Potter y la Piedra Filosofal (Edición Especial con Cantos Pintados) ,J.K Rowling,9788419868282,Fantasy,Not Read
Atmosphere: Una historia de amor (Exclusiva),Taylor Jenkins Reid,9781387595142,Literary,Not Read
Citas & desmembramientos,A.L. Brody,9788410391055,Romance,Not Read
Lady Macbethad,Isabelle Schuler,9788419030580,Fantasy,Not Read
Muñeca de huesos,Holly Black,9788410239012,Fantasy,Not Read
Medianoche absoluta (Abarat #3),Clive Barker,9788416224203,Fantasy,Not Read
"Días de magia, noches de guerra (Abarat #2)",Clive Barker,9788416224173,Fantasy,Not Read
Abarat (Abarat #1),Clive Barker,9788494172991,Fantasy,Not Read
Una Anciana Encantadora… y Letal (Colección Cozy Mistery #37),Helene Tursten,9788410206304,Mystery Thriller & Crime,Not Read
Bajo el metal,Irene Morales,9788424667184,SciFi,Not Read
Un velo escarlata (The Scarlet Veil #1),Shelby Mahurin,9789566196624,Fantasy,Not Read
El aliento de los dioses,Brandon Sanderson,9791387652074,Fantasy,Not Read
Violet y Finch,Jennifer Niven,9789562479813,Romance,Not Read
El último dragón (Cuentos de Bereth #1),Javier Ruescas,9786073187022,Fantasy,Not Read
Chicas de papel y de fuego (Girls of Paper and Fire #1),Natasha Ngan,9788492918638,Fantasy,Not Read
La Casa de la Bestia,Michelle Wong,9788410644724,Fantasy,Not Read
El libro de la noche (The Charlatan Duology Series #1),Holly Black,9789566196211,Fantasy,Not Read
Corazón negro (Curse Workers #3),Holly Black,9789566196303,Fantasy,Not Read
Guante rojo (Curse Workers #2),Holly Black,9789567042913,Fantasy,Not Read
Gata Blanca (Curse Workers #1),Holly Black,9789567042708,Fantasy,Not Read
El legado de la reina cuervo,Isa J. Gonzále,9788410479746,Fantasy,Not Read
El Imperio Sangriento (The Bleeding Empire #1),Sung-Il Kim,9788445019634,Fantasy,Not Read
El corazón de Naga (El Pájaro que bebe Lágrimas #1),Yeong-Do Lee,9788445017098,Fantasy,Not Read
Un caballero en Moscú (Edición Limitada),Amor Towles,9788419456939,Literary,Not Read
Hechizos de Medianoche,Rachel Griffin,9788419252357,Fantasy,Not Read
Mister Magic,Kiersten White,9788419030832,Mystery Thriller & Crime,Not Read
La teoría de Kim (La teoría de Kim #1),Jay Sandoval,9789566145639,Fantasy,Not Read
Hija de La Frontera,Asier Moreno Vizuete,9788445014639,Fantasy,Not Read
La asesina del rey (The Halfling Saga #1),Melissa Blair,9789564085739,Fantasy,Not Read
Historia de un piano,Ramon Gener,9788423365296,Literary,Not Read
Maestra del hierro (Bladesmith #2),Tricia Levenseller,9788445018422,Fantasy,Not Read
La espada de los secretos (Bladesmith #1),Tricia Levenseller,9788445014813,Fantasy,Not Read
Huérfanos del Errante (Tejesombras #1),Costa Alcalá,9788419252760,Fantasy,Not Read
Mi Abuela Estuvo en Auschwitz,Marcos Alvo,9789566063100,Historical,Not Read
Rey brujo (The Rising World #1),Martha Wells,9788410163119,Fantasy,Not Read
El límite del cielo (Above the Black #1),Marc J. Gregson,9788410163171,SciFi,Not Read
Un cheddar para morirse (Colección Cozy Mistery #27),Korina Moss,9788410206038,Mystery Thriller & Crime,Not Read
Máscara de Gato,Francesca Zappia,9788419252234,Fantasy,Not Read
Electro,VV. AA,9788410239050,SciFi,Not Read
Mil pasos al interior de la noche,Traci Chee,9788412669749,Fantasy,Not Read
Los Brujos del fin del mundo,Miguel Ferrada,9789566402251,Literary,Not Read
Los últimos días de Clayton and Co.,Francisca Solar,9789566402282,Historical,Not Read
Algo fabuloso,Alexis Hall,9786313004010,Romance,Not Read
Flash Fire (The Extraordinaries #2),T. J. Klune,9786313001965,Fantasy,Not Read
Los Chicos de Promise,Nick Brooks,9788419252722,Mystery Thriller & Crime,Not Read
La casa Marionne (House of Marionne #1),J. Elle,9786289564990,Fantasy,Not Read
Black Water Sister,Zen Cho,9788445012444,Fantasy,Not Read
Dioses de Jade y Sombra,Silvia Moreno-García,9788445012147,Fantasy,Not Read
"Sal Conmigo, Bryson Keller!",Kevin Van Whye,9789566145349,Romance,Not Read
Serendipia Editorial. Un Amor Entre Páginas,Catalina Giselle Toloza Espinoza,9789566145684,Romance,Not Read
La ladrona de libros (Edición Limitada),Markus Zusak,9788466363310,Historical,Not Read
Una escalera hacia el cielo,John Boyne,9789566075974,Literary,Not Read
El Grimm mortal (The Forest Grimm duology #2),Kathryn Purdie,9788410239487,Fantasy,Not Read
La herencia de Orquídea Divina,Zoraida Cordova,9788416517480,Literary,Not Read
La tejedora encantada,Alexandra Bracken,9788418712104,Fantasy,Not Read
La biblioteca prohibida,Connis Dave,9788492918805,Literary,Not Read
La parca infinita (Infinity Cycle #2),Adam Silvera,9788417854461,Fantasy,Not Read
Renovarse o morir (Colección Cozy Mistery #29),Krista Davis,9788410206342,Mystery Thriller & Crime,Not Read
Rose in Chains (The Evermore Trilogy #1),Julie Soto,9788408307464,Fantasy,Not Read
Jane Eyre (Alma Pocket),Charlotte Brontë,9788418008597,Literary,Not Read
Orgullo y prejuicio (Alma Pocket),Jane Austen,9788417430719,Literary,Not Read
Persuación (Alma Pocket),Jane Austen,9788418933387,Literary,Not Read
"Anne, la de Tejados Verdes",Lucy Montgomery,9789500444392,Literary,Not Read
"Anne, la de Avonlea",Lucy Montgomery,9789500444408,Literary,Not Read
Dormir en un mar de Estrellas (Fractalverse #1),Christopher Paolini,9789567042340,SciFi,Not Read
Flores de verano,Tamiki Hara,9789567461097,Literary,Not Read
La princesa de espinas (Dauntless Path #1),Intisar Khanani,9788418509032,Fantasy,Not Read
Canción de sangre,Julia Ember,9788418509094,Fantasy,Not Read
Bloodmarked (The Legendborn Cycle #2),Tracy Deonn,9788418509544,Fantasy,Not Read
El maestro de los enigmas,Danielle Trussoni,9788419030542,Mystery Thriller & Crime,Not Read
Los jugadores,Carlos Fortea,9788494335495,Literary,Not Read
Un ardiente verano,Eduard von Keyserling,9788493739683,Literary,Not Read
Última (The Lotus Wars #3),Jay Kristoff,9788415709343,SciFi,Not Read
Imperio (The Lotus Wars #2),Jay Kristoff,9788417615932,SciFi,Not Read
Tormenta (The Lotus Wars #1),Jay Kristoff,9788417615925,SciFi,Not Read
El libro de las sombras,Jordi Ribolleda,9788419030689,Fantasy,Not Read
Diario De Ana Frank (B),Anne Frank,9788466378567,Non-Fiction,Not Read
Heat wave (The Extraordinaries #3),T. J. Klune,9786313003570,Fantasy,Not Read
Un poder desatado (The Last Binding #3),Freya Marske,9786313004270,Fantasy,Not Read
El coleccionista de brujas (Witch Walker #1),Charissa Weaks,9788418509391,Fantasy,Not Read
"Dorado, violeta y verde menta (Deseos prohibidos #1)",Marta Santés,9788419131041,Romance,Not Read
La Gaceta del Misterio (Stranger Times #1),C. K. Mcdonnell,9788418509155,Fantasy,Not Read
Legendborn (The Legendborn Cycle #1),Tracy Deonn,9788418509278,Fantasy,Not Read
Un hombre encantador (Stranger Times #2),C. K. Mcdonnell,9788418509414,Fantasy,Not Read
El hada verde,Jamie Pacton,9788410425002,Fantasy,Not Read
El circo de las luces,J.R. Dawson,9788418509742,Fantasy,Not Read
El regreso de Moriarty (Charlotte Holmes Series #2),Brittany Cavallaro,9788418509117,Mystery Thriller & Crime,Not Read
El emporio escarlata,Jamie Pacton,9788418509667,Fantasy,Not Read
Coronas de ceniza (Wings of Fury #2),Emily R.King,9788418509438,Fantasy,Not Read
Alas de furia (Wings of Fury #1),Emily R.King,9788418509247,Fantasy,Not Read
Truel1F3 (Lifel1K3 #3),Jay Kristoff,9788419030696,SciFi,Not Read
Dev1At3 (Lifel1K3 #2),Jay Kristoff,9788410085374,SciFi,Not Read
Lifel1K3 (Lifel1K3 #1),Jay Kristoff,9788419030528,SciFi,Not Read
El secreto de París,Bryn Turnbull,9789564087955,Historical,Not Read
Tumba De Dioses (The Nevernight Chronicle #2),Jay Kristoff,9788418440038,Fantasy,Not Read
Nuncanoche (The Nevernight Chronicle #1),Jay Kristoff,9788418440014,Fantasy,Not Read
La bruja de Near,Victoria Schwab,9788492918348,Fantasy,Not Read
Anhelos Inmortales (Flesh and False Gods #1),Chloe Gong,9788419266781,Fantasy,Not Read
Immortal Dark (Immortal Dark Trilogy #1),Tigest Girma,9788410190122,Fantasy,Not Read
La inquilina de Wildfell Hall (Novelas Eternas),Anne Brontë,9788413296968,Literary,Not Read
Buscando a Dorothy,Elizabeth Letts,9788416517770,Literary,Not Read
El último cupcake (Colección Cozy Mistery #30),Joanne Fluke,9788410206311,Mystery Thriller & Crime,Not Read
La guardiana de libros,Madeline Martin,9789564088150,Historical,Not Read
La última cuentista,Donna Barbara Higuera,9789569476778,Fantasy,Not Read
El gato de Schrödinger,Lily Del Pilar,9789566393245,Romance,Not Read
"El sol, la luna y las estrellas",Marta Santés,9788419131409,Romance,Not Read
Las reinas de Innis Lear (Innis Lear #1),Tessa Gratton,9786078614264,Fantasy,Not Read
Lady Hotspur (Innis Lear #2),Tessa Gratton,9788416517367,Fantasy,Not Read
El Hijo infinito (Infinity Cycle #1),Adam Silvera,9788492918850,Fantasy,Not Read
The Measure: Las cuerdas del destino,Nikki Erlick,9788419030290,Literary,Not Read
Enigma bajo las sábanas (Colección Cozy Mistery #23),Kate Carlisle,9788419599582,Mystery Thriller & Crime,Not Read
La esperanza de aquellos días,Georgia Hunter,9791387595043,Historical,Not Read
La balada del arpa de hueso,Lucy Holland,9788416517534,Fantasy,Not Read
Heroínas sencillas y perversas,Emily M. Danforth,9788416517503,Mystery Thriller & Crime,Not Read
Al otro lado del océano,Tahereh Mafi,9788492918386,Literary,Not Read
Un reino entretejido (This Woven Kingdom #1),Tahereh Mafi,9786077486527,Fantasy,Not Read
Finales Violentos (Secret Shanghai #2),Chloe Gong,9788412473032,Fantasy,Not Read
Creo que tengo un problema,Daniel Aleman,9791387595005,Mystery Thriller & Crime,Not Read
Liberamos Las Estrellas (Arenas de Arawiya #2),Hafsah Faizal,9788418002182,Fantasy,Not Read
El otro lado del cielo (The Other Side of the Sky #1),Amie Kaufman,9788417390679,Fantasy,Not Read
Caelum,Gabriel Ángulo Vragas,9789566146452,Fantasy,Not Read
La maldición radiante (Six Crimson Cranes #0),Elizabeth Lim,9789569975844,Fantasy,Not Read
Los Secretos de Longdawn (Magia & Sentimientos #1),Ariel Holz,9788419252999,Fantasy,Not Read
A la Caza del Fuego (Arenas de Arawiya #1),Hafsah Faizal,9788418002175,Fantasy,Not Read
La Daga y el Fuego (The City of Fantome #1),Catherine Doyle,9788410163607,Fantasy,Not Read
La voz del agua,Maggie Stiefvater,9788401032585,Literary,Not Read
La Cocina de los Libros de Soyangri,Kim Jee-Hye,9788492919840,Literary,Not Read
Top Secret,Sarina Bowen,9788410425125,Romance,Not Read
Rey entre sombras (The Half King #1),Melissa Landers,9788445019528,Fantasy,Not Read
Fable (Fable #1),Adrienne Young,9788417854348,Fantasy,Not Read
Medianoche (Fable #2),Adrienne Young,9788417854751,Fantasy,Not Read
Muerte en el Lovely Lady Club,Marie Rutkoski,9791387595012,Mystery Thriller & Crime,Not Read
Yerba Buena,Nina LaCour,9788416517633,Romance,Not Read
En El Bosque de Las Historias Olvidadas,Shea Ernshaw,9788416517497,Fantasy,Not Read
Una puerta en la sombra (Waxways #1),Scott Reintgen,9788410479951,Fantasy,Not Read
No dejes entrar al bosque,C.G. Drews,9786313003587,Fantasy,Not Read
Sentido y Sensibilidad (Alma Pocket),Jane Austen,9788419599704,Literary,Not Read
El buen soldado (Alma Ilustrado),Ford Madox Ford,9788419599063,Literary,Not Read
Agnes Gray (Alma Pocket),Anne Brontë,9788419599124,Literary,Not Read
Sanditon,Jane Austen,9788418933707,Literary,Not Read
El Valle del Miedo,Arthur Conan Doyle,9788418395321,Mystery Thriller & Crime,Not Read
Fathomfolk,Eliza Chan,9788445018774,Fantasy,Not Read
El lado  perdido (The Half Bad Trilogy #3),Sally Green,9786077359098,Fantasy,Not Read
Ocaso (La Academia #1),Nerea Llanes,9788408299806,Fantasy,Not Read
La caída de las brujas (El vals de la bruja #3),Belén Martínez,9788410239142,Fantasy,Current Reading
Un cielo de sueños dorados,Laura Wood,9788492918904,Fantasy,Not Read
