Título,Autor(a),ISBN,Género,Estado
Más allá de las páginas (Más allá de las páginas #1),Sofía Armijo,9789564065106,Fantasy,Read
Alfa (Alfa #2),Emina Himesama,9789566398134,SciFi,Read
Los secretos del Hotel Jardín de Odette,Bruno Puelles,9786316599421,Fantasy,Read
La maldición de la sangre,M. L. Wang,9788410085275,Fantasy,Read
Flores (Larga vida al rey #2),Irene Morales,9788419030795,Fantasy,Read
La profecía del rayo y las estrellas,Rick Riordan,9789566184560,Fantasy,Read
Villanos. Fuego y destino,Serena Valentino,9786287722095,Fantasy,Read
Una promesa de cien años (Reedición),María Ignacia Urzúa Reyes,9789566402077,Fantasy,Read
Sangre (Larga vida al rey #1),Irene Morales,9788419030306,Fantasy,Read
El Atlas de los Seis (Seis de Atlas #1),Olivie Blake,9789567042807,Fantasy,Read
Martina Ackels y el Cetro de Orselok,Fabián Rivas,9789566402046,Fantasy,Read
En la Posada de Sofía,Cristina Molina,9789566183587,Fantasy,Read
El club de las pintoras,Alyson Richman,9789564086392,Historical,Read
Cartas desde el desierto,Manu Carbajo,9788419252630,Dystopian,Read
La ciudad de los mil ojos,Bruno Puelles,9788417854850,Fantasy,Read
Timmy en apuros,Holly Webb,9788418139277,Literary,Read
Después del océano,Belén Martínez,9788417854881,Fantasy,Read
La torre de Nerón (Las pruebas de Apolo #5),Rick Riordan,9788418038938,Fantasy,Read
Hijos Dorados,Patricia Ibárcena,9788410085282,Mystery Thriller & Crime,Read
El último Van Gogh,Alyson Richman,9789564085197,Historical,Read
Un corazón roto y un prometido,Estefany Cisternas B.,9789566183990,Romance,Read
Cuando Haru estuvo aquí,Dustin Thao,9788419939531,Romance,Read
El Reloj de Eones,Benjamín Navarro,9789566386025,Fantasy,Read
La tumba del tirano (Las pruebas de Apolo #4),Rick Riordan,9788418038525,Fantasy,Read
Acid Rain (Acid Rain #1),Yaritza Aguilera,9789566273042,Romance,Read
El rey de la máscara oscura (El rey de la máscara oscura),Javiera Valenzuela,9789566145370,Fantasy,Read
Lo frágil y lo eterno,Bruno Puelles,9788419030979,Fantasy,Read
Perrunos y gatunos,Enzo Roubaud Rojas,9789566355229,Non-Fiction,Read
El laberinto en llamas (Las pruebas de Apolo #3),Rick Riordan,9788490439494,Fantasy,Read
Las recolectoras de hilos,Alyson Richman,9789564084251,Historical,Read
Los señores de la muerte,Olivie Blake,9788419030757,Fantasy,Read
La Profecía Oscura (Las pruebas de Apolo #2),Rick Riordan,9788490438374,Fantasy,Read
Hooky (Hooky #3),Míriam Bonastre Tur,9788427052086,Fantasy,Read
Hana (Hana #1),Koniicha,9789566273066,SciFi,Read
Tweeling 2,Emina Himesama,9789566034575,Romance,Read
Alfa (Alfa #1),Emina Himesama,9789566185680,SciFi,Read
El secreto de su mente,Marie Benedict,9789564083933,Historical,Read
Las horas de terciopelo,Alyson Richman,9789563606799,Historical,Read
El oráculo oculto (Las pruebas de Apolo #1),Rick Riordan,9788490437346,Fantasy,Read
Contigo en el éter,Olivie Blake,9788419030245,Literary,Read
Una sonata de verano,Belén Martínez,9788419252692,Fantasy,Read
