titulo,autor
GUARDIANA DE LIBROS,MADELINE MARTIN
GUARDIANES. LOS CONDENADOS,BELEN CERECEDA
GUÍA DE BRUJAS PARA CITAS FALSAS CON UN DEMONIO,ASHLEY POSTON
HAS LLAMADO A SAM,DUSTIN THAO
HASTA QUE CAIGA LA LUNA,SARAH RIVENS
HASTA QUE NOS QUEDEMOS SIN ESTRELLAS,INMA RUBIALES
HECHICERA DE HUESOS,KATHRYN PURDIE
HIDEAWAY,PENELOPE DOUGLAS
HIJOS DORADOS,PATRICIA BARCENA
LA HIPOTESIS DEL AMOR,ALI HAZELWOOD
HOY SE LO DIGO,INMA RUBIALES
HUNDIDA,COLLEEN HOOVER
IDILICO,MIA VARINIA
INVOCACION,ST GIBSON
ISLA DE DIOSES,HANNAH KANER
LA ISLA DE LOS ANHELOS,SARAH JIO
JOSH Y HAZEL: GUIA PARA EL FRACASO AMOROSO,CHRISTINA LAUREN
JUEGO DE DOS,VI KEELAND
JUEGO DE REINAS,KATHARINE MCGEE
JULIETTE Y LAS CANCIONES,JANE FEATHER
JUNTOS EN LA HOGUERA,ISABEL IBAÑEZ
KILLSWITCH,PENELOPE DOUGLAS
LA ASESINA DEL REY,MELISSA BLAIR
LA CHICA QUE OIA A LOS MUERTOS,ANNE GRIFFIN
LA ECUACION DE AMOR,HELEN HOANG
LA FAN NUMERO 1,INMA RUBIALES
LA HIJA DEL RELOJERO,LARRY LOFTIS
LA HORA AZUL,ALFONSO GOIZUETA
LA LIBRERIA DE LADY DESTINO,GEORGIA SUMMERS
LA LIBRERIA DE LOS VIERNES,SAWAKO NATORI
LA MAGIA DE LAS CASUALIDADES,MEGAN MAXWELL
LA MALDICION DE LA SANGRE,HANNAH KANER
LA MECANICA DEL AMOR,ALEXENE FAROL FOLLMUTH
LA NIñA SALVAJE,KRISTIN HANNAH
LA NOVIA EQUIVOCADA,CATHARINA MAURA
LA PRINCESA ENCANTADA,DAWN BROWER
LA QUIMICA DEL AMOR,ALI HAZELWOOD
LA SONRISA DEL DEMONIO,TRACY WOLFF
LA TEORIA DEL AMOR,ALI HAZELWOOD
