TÍTULO,AUTOR,EDICIÓN,ISBN
El ingrediente secreto de Emoni Santiago,Elizabeth Acevedo,Tapa blanda,9789567042821
La promesa del dragón (Six crimson cranes 2),Elizabeth Lim,Tapa blanda,9786073908726
Seis grullas (Six crimson cranes 1),Elizabeth Lim,Tapa blanda,9786070796128
Cumbres borrascosas,Emily Brontë,Tapa blanda,9789563606621
El cubo B (Artemis Fowl 3),Eoin Colfer,Tapa dura,9788484412229
Artemis Fowl y su peor enemigo (Artemis Fowl 6),Eoin Colfer,Tapa dura,9788484415459
Encuentro en el Ártico (Artemis Fowl 2),Eoin Colfer,Tapa dura,9788484411741
La hora de la verdad (Artemis Fowl 7),Eoin Colfer,Tapa dura,9788484417033
Armada,Ernest Cline,Tapa blanda,9788466658935
Ready player one,Ernest Cline,Tapa blanda,9788466649179
Agencia matrimonial para ricos,Farahad Zama,Tapa blanda,9788466639705
Play. Ilustraciones. 40 canciones para ver,Felipe Ossandón,Tapa blanda,9789563041132
El buzón de las impuras,Francisca Solar,Tapa blanda,9789566196778
Los últimos días de Clayton & Co.,Francisca Solar,Tapa blanda,9789566402282
Sueños de mala fortuna,Francisco Bassignana,Tapa dura,9789569071003
La Metamorfosis,Franz Kafka,Tapa blanda,9788496975538
Qué dificil es el amor para un otaku (1),Fujita,Tapa blanda,9788417644543
Qué dificil es el amor para un otaku (2),Fujita,Tapa blanda,9788417665654
El amor en los tiempos del cólera (edición ilustrada),Gabriel García Márquez,Tapa dura,9788439735427
Dos soledades: Un diálogo sobre la novela en América Latina,Gabriel García Márquez y Mario Vargas Llosa,Tapa blanda,9788420454160
La Bella y Bestia (Ilustrado),Gabrielle-Suzanne Barbot de Villeneuve,Tapa dura,9788494171413
Jujutsu Kaisen: El incidente de Shibuya -Metamorfosis- (15),Gege Akutami,Tapa blanda,9786075688985
Jujutsu Kaisen: Una oscuridad resplandeciente (0),Gege Akutami,Tapa blanda,9786075683409
Rebelión en la granja,George Orwell,Tapa blanda,9788499890951
Rebelión en la granja (Novela gráfica),George Orwell,Tapa dura,9788466346351
El caballero de los Siete Reinos,George R.R. Martin,Tapa blanda,9789569646010
El mundo de hielo y fuego,George R.R. Martin,Tapa dura,9786073132411
Juego de Tronos (Canción de hielo y fuego 1),George R.R. Martin,Tapa blanda,9789568352691
Cochrane vs. Cthulhu (Lord Cochrane 1),Gilberto Villarroel,Tapa blanda,9789569585340
Lord Cochrane y la Hermandad de las catacumbas (Lord Cochrane),Gilberto Villarroel,Tapa blanda,9789569585494
Perdida,Gillian Flynn,Tapa blanda,9789877251883
El fin de los escribas (Will Piper 3),Glenn Cooper,Tapa blanda,9789502806761
El libro de las almas (Will Piper 2),Glenn Cooper,Tapa blanda,9789502805542
La biblioteca de los muertos (Will Piper 1),Glenn Cooper,Tapa blanda,9789502805108
Cuentos Japoneses de Doncellas,Grace James,Tapa blanda,9788494344992
Cómo vender una casa embrujada,Grady Hendrix,Tapa blanda,9789569957284
La forma del agua,Guillermo del Toro,Tapa blanda,9788492915996
La guerra de los mundos,H.G. Wells,Tapa blanda,9788416827022
La máquina del tiempo,H.G. Wells,Tapa dura,9788408210054
H. P. Lovecraft. Narrativa completa (Tomo 3),H.P. Lovecraft,Tapa blanda,9788415999935
H. P. Lovecraft. Narrativa completa (Tomo 2),H.P. Lovecraft,Tapa blanda,9788415999928
H.P. Lovecraft Narrativa Completa (Tomo 1),H.P. Lovecraft,Tapa blanda,9788415999911
Necronomicón,H.P. Lovecraft,Tapa blanda,9788415999188
Tim te Maro y la magia de los corazones rotos,H.S. Valley,Tapa blanda,9789877478259
Algo entre nosotros,Hagi,Tapa blanda,9788417373184
La biblioteca de la medianoche (The midnight world 1),Haig Matt,Tapa dura,9786075507712
Tan poca vida,Hanya Yanagihara,Tapa blanda,9788426403278
La guerra de los lobos (La Moïra 2),Henri Lœvenbruck,Tapa dura,9788448035631
La loba y la niña (La Moïra 1),Henri Lœvenbruck,Tapa dura,9788448035624
Lugares seguros,Ignacio Rebolledo,Tapa blanda,9789563842050
Anne sin filtros,Iria G. Parente y Selene M. Pascual,Tapa blanda,9789878120096
El eco del destino (Time Keeper 1),Iria G. Parente y Selene M. Pascual,Tapa blanda,9789566146315
Pétalos de papel (Cantos pintados) ,Iria G. Parente y Selene M. Pascual,Edición especial,9788427246836
Trilogia de La fundación,Isaac Asimov,Tapa blanda,9789875666733
R y Julie,Isaac Marion,Tapa blanda,9789569659041
Algo más que vecinos,Isabel Keats,Tapa blanda,9788468728292
Animales fantásticos y dónde encontrarlos,J.K. Rowling,Tapa blanda,9788498382686
Harry Potter and the Order of the Phoenix (Harry Potter 5),J.K. Rowling,Tapa dura,9780747569404
Harry Potter y el cáliz de fuego (Harry Potter 4),J.K. Rowling,Tapa dura,9789566075127
Harry Potter y el legado maldito (Harry Potter 8),J.K. Rowling,Tapa blanda,9788498387551
Harry Potter y el misterio del príncipe (Harry Potter 6),J.K. Rowling,Tapa dura,9788478889914
Harry Potter y el prisionero de Azkaban (Harry Potter 3),J.K. Rowling,Tapa dura,9788498380194
Harry Potter y la cámara secreta (Harry Potter 2),J.K. Rowling,Tapa dura,9788498380187
Harry Potter y la Orden del Fénix (Harry Potter 5),J.K. Rowling,Tapa dura,9788498380217
Harry Potter y la piedra filosofal (Harry Potter 1),J.K. Rowling,Tapa dura,9788498380170
Harry Potter y las reliquias de la muerte ((Harry Potter 7),J.K. Rowling,Tapa dura,9788498381436
Los cuentos de Beedle el bardo,J.K. Rowling,Tapa dura,9788498381955
Quidditch a través de los tiempos,J.K. Rowling,Tapa dura,9788498387926
Una Vacante Imprevista,J.K. Rowling,Tapa blanda,9788498384932
Calíope: agente de Nunca Jamás (Calíope 1),J.L. Flores,Tapa blanda,9789567388004
Calíope: las lobas del otoño (Calíope 2),J.L. Flores,Tapa blanda,9789567388110
Peter Pan,J.M. Barrie,Tapa dura,9788418008146
Peter Pan y Wendy,J.M. Barrie,Tapa dura,9788408167167
Hasta Los Huesos ,J.R. Johansson,Tapa blanda,9789877475609
El Silmarillion,J.R.R. Tolkien,Tapa blanda,9789562476645
Otaku: Cuatro décadas de cultura popular japonesa en Chile,Jacqueline Herrera,Tapa blanda,9789569505225
"Mary, Mary (Alex Cross 11)",James Patterson,Tapa blanda,9788466613996
Alice y la mosca,James Rice,Tapa blanda,9789504951308
Emma,Jane Austen,Tapa dura,9788491045175
Orgullo y prejuicio / Sentido y sensibilidad (Obras selectas series),Jane Austen,Tapa dura,9788497941587
Pride and Prejudice: A Book-to-Table Classic (Puffin Plated),Jane Austen,Tapa dura,9780451479914
La abadía de Northanger,Jane Austen,Tapa blanda,9788491045137
Lady Susan y otras novelas,Jane Austen,Tapa dura,9788491047711
Mansfield Park,Jane Austen,Tapa dura,9788491045144
"Orgullo y prejuicio (Alianza, Centenario Jane Austen)",Jane Austen,Tapa dura,9788491045120
"Orgullo y prejuicio (Austral, Edición especial)",Jane Austen,Tapa dura,9788467077834
Orgullo y prejuicio (Copec),Jane Austen,Tapa blanda,9789566180425
"Orgullo y prejuicio (Penguin, Edición conmemorativa)",Jane Austen,Tapa dura,9788491051329
Orgullo y prejuicio (Alfaguara),Jane Austen,Tapa dura,9789585118577
Orgullo y prejuicio (Blanco & Negro),Jane Austen,Tapa dura,9786289584219
Orgullo y prejuicio. Clásicos para leer y escuchar con Mickey y sus amigos,Jane Austen,Tapa dura,9781503766204
Persuasión,Jane Austen,Tapa dura,9788491045151
Pride and Prejudice (Chronicle Books),Jane Austen,Edición especial,9781452184579
Sensatez y sentimiento,Jane Austen,Tapa dura,9788491045168
Quitral,Javi Zanelli,Tapa blanda,9789566386407
La cena secreta,Javier Sierra,Tapa blanda,9788401335907
Nerve,Jeanne Ryan,Tapa blanda,9789877381856
De sangre y cenizas (De Sangre y cenizas 1),Jennifer L. Armentrout,Tapa blanda,9788417854317
Obsidian (Lux 1),Jennifer L. Armentrout,Tapa blanda,9788415577522
Un reino de carne y fuego (De Sangre y cenizas 2),Jennifer L. Armentrout,Tapa blanda,9786124858581
Una corona de huesos dorados (De sangre y cenizas 3),Jennifer L. Armentrout,Tapa blanda,9789567042845
Una sombra en las brasas (Flesh and fire 1),Jennifer L. Armentrout,Tapa blanda,9788417854515
Fallo técnico (Los Seems 1),Jhon Hulme y Michael Wexler,Tapa dura,9788466641012
Un segundo perdido (Los Seems 2),Jhon Hulme y Michael Wexler,Tapa dura,9788466641227
Árbol,Joaquín Araújo,Tapa dura,9788496974784
Spade & Aarcher,Joe Gores,Tapa dura,9788466642903
Una figura en las sombras (Lewis Barnavelt 2),John Bellairs,Tapa blanda,9788420433844
Yo antes de ti (Yo antes de ti 1),Jojo Moyes,Tapa blanda,9789563478068
El manuscrito de neopatria,Jordi Cantavella,Tapa dura,9788496929715
El Lugar Sin Limites,José Donoso,Tapa blanda,9789569583780
Al Otro Lado de La Niebla,Juan Luis Arsuaga,Tapa dura,9788496463165
Una magia impregnada de veneno (The book of tea 1),Judy I. Lin,Tapa blanda,9786070798351
Zanahorio ,Jules Renard,Tapa dura,9788412804614
Viaje al centro de la Tierra,Jules Verne,Tapa dura,9788467050660
La hermandad de la sábana santa,Julia Navarro,Tapa blanda,9788497935272
El cuarto jinete,Kate Thompson,Tapa dura,9788496791978
El libro de los hechizos (The physick book 1),Katherine Howe,Tapa blanda,9789504932307
Los pilares de la tierra (Kingsbride 1),Ken Follett,Tapa blanda,9788499086514
Un mundo sin fin (Kingsbride 2),Ken Follett,Tapa blanda,9788499893730
Una columna de fuego (Kingsbride 3),Ken Follett,Tapa dura,9788401018251
Corazón nerd,Kote Carvajal,Tapa blanda,9789569671074
El Colorista Nana,Kote Carvajal,Tapa blanda,9789569872013
La emperatriz de los etéreos,Laura Gallego García,Tapa dura,9788420472706
Anna Karenina,Leo Tolstoy,Tapa dura,9788415618881
Alicia a través del espejo,Lewis Carroll,Tapa dura,9788417430429
Alicia en el país de las maravillas,Lewis Carroll,Tapa dura,9788415618713
Sangre en el ojo,Lina Meruane,Tapa blanda,9789568228392
El cráneo de Akenatón,Lluís Racionero,Tapa dura,9788466641166
Mujercitas,Louisa May Alcott,Tapa dura,9788417430542
Mujercitas,Louisa May Alcott,Tapa blanda,
El caso del terrateniente D. Lucas Ruíz de De La Peña,Luis Avinareta,Tapa blanda,9788417110871
Proyecto Lazaro,Luis Miguel Ariza,Tapa dura,9788401336393
Scarlett,Mabel Hervia,Tapa blanda,9789560804143
Milagros en Bicho Raro,Maggie Stiefvater,Tapa blanda,9789563633672
Valientemente,Maggie Stiefvater,Tapa blanda,9789564084596
Paraíso perverso,Mar Petryk,Tapa blanda,9789566402299
El cuento de la criada (Cuento de la criada 1),Margaret Atwood,Tapa dura,9789878000435
El Ruido De Las Flores,María De La O Guillén,Tapa blanda,9788493732745
Los escarabajos vuelan al atardecer,Maria Gripe,Tapa blanda,9788434811638
Cosas que me hubiese gustado saber antes de los 30,María José Castro,Tapa blanda,9789564084749
