titulo,autor,genero,editorial,precio,stock,encuadernacion
METAL SLINGER,RACHEL SCHNEIDER,ROMANTASY,PLANETA,0,1,
NOVIA,ALI HAZELWOOD,ROMANTASY,ZIG ZAG,0,3,
TODOS LOS DEMONIOS DEL CIELO,MIRIAM MOSQUERA,ROMANTASY,ZIG ZAG,0,1,
TODOS LOS ANGELES DEL INFIERNO,MIRIAM MOSQUERA,ROMANTASY,ZIG ZAG,0,3,
UNA VIDA MARAVILLOSA,EMILY HENRY,ROMANCE,URANO,0,1,
MIS LUNES CON AROMA A MATCHA,MICHIKO AOYAMA,HEALINH FICTION,PLANETA,0,8,
FURIA,TRACY WOLFF,ROMANTASY,PLANETA,0,6,
EL GUARDIAN DE ESPADAS,CASSANDRA CLARE,FANTASIA,PLANETA,0,5,
UN AMIGO GRATIS,INMA RUBIALES,ROMANCE,PLANETA,0,1,
LEGACY: DONDE TODO COMIENZA,REBECCA YARROS,ROMANCE,PLANETA,0,2,
CAIDA LIBRE,ALI HAZELWOOD,ROMANCE,ZIG ZAG,0,1,
CIEN DESAFIOS,NATALIE MAR,ROMANCE,AUTOPUBLICADO,0,3,
SHANGAI INMORTAL,A.Y CHAO,ROMANTASY,MINOTAURO,0,3,
LA CHICA DE MIS SUEÑOS,TESSA BAILEY,ROMANCE,URANO,0,2,
UNA CORTE DE ALAS Y RUINA ,SARAH J. MAAS,ROMANTASY,BOOKET,0,1,
QUICKSILVER,CALLIE HART,ROMANTASY,ZIG ZAG,0,1,
REY ENTRE SOMBRAS,MELISSA LANDERS,ROMANTASY,MINOTAURO,0,2,tapa dura
ELITE PLATEADA,DANI FRANCIS,FANTASIA DISTOPICA,ZIG ZAG,0,1,
ALAS DE SANGRE,REBECCA YARROS,ROMANTASY,PLANETA,0,1,
ORGULLO Y PREJUICIO,JANE AUSTEN,CLASICOS,ALMA PANORAMA,0,1,tapa dura
¿QUE SE SIENTE?,JENEANE O'RILEY,ROMANTASY,ZIG ZAG,0,1,
UN TRATO CON EL REY DE LOS ELFOS ,ELISE KOVA,ROMANTASY,URANO,0,1,
CREEDENCE,PENELOPE DOUGLAS,DARK ROMANCE,PLANETA,0,1,
UN PODER DESATADO,FREYA MARSKE,FANTASIA,V&R EDITORAS,0,1,
LA REINA,JENNIFER ARMENTROU,ROMANTASY,URANO,0,1,
EL CLUB DEL OLVIDO,ALICE KELLEN,ROMANCE,PLANETA,0,1,
DONDE HABITAN LAS SIRENAS,MARIA MARTINEZ,ROMANCE,PLANETA,0,1,
ANTES DE IRME,TILLIE COLE,ROMANCE,PLANETA,0,10,
FELICES PARA SIEMPRE,LYNN PAINTER,ROMANCE,URANO,0,1,
TRIADA: AUNQUE EL INFIERNO ME CONSUMA,CAROL S. BROWN,DARK ROMANCE,ZIG ZAG,0,1,
PELIGRO,ST ABBY,DARK ROMANCE,ZIG ZAG,0,0,
PERDIENDO EL CONTROL,LIZ TOMFORDE,ROMANCE,MONTENA,0,1,
SIGUIENDO EL JUEGO,LIZ TOMFORDE,ROMANCE,MONTENA,0,0,
JUGANDO FUERTE,LIZ TOMFORDE,ROMANCE,MONTENA,0,0,
"ABRAZAME, QUE NO TE QUIERO",IRENE FERB,ROMANCE,ZIG ZAG,0,1,
LA CASA DE LOS ALETEOS,OLIVIA WILDENSTEIN,ROMANTASY,ZIG ZAG,0,1,
"TU SANGRE, MIS HUESOS",KELLY ANDREW,ROMANTASY,URANO ,0,1,
EL PERFUME DEL REY,KARINE BERNAL,ROMANTASY,PLANETA,0,1,
SANGRE DE DRAGON,BRIAR BOLEYN,ROMANTASY,PLANETA,0,1,
BLACK BIRD ACADEMY: MUERTE A LA OSCURIDAD,STELLA TACK,ROMANTASY,ZIG ZAG,0,0,tapa dura
UNA CORTE DE ALAS Y RUINA ,SARAH J. MAAS,ROMANTASY,PLANETA,0,1,tapa dura
PARAISO PERVERSO,MAR PETRYK,DARK ROMANCE,PLANETA,0,1,
UN AMOR DE NOVELA,ASHLEY POSTON,ROMANCE,URANO ,0,9,
CUANDO TE ATREVAS A SENTIR,TAMARA MOLINA,ROMANCE,ZIG ZAG,0,1,
ECHAR EL LAZO,LYLA SAGE,ROMANCE,URANO ,0,1,
TE ENCUENTRO EN EL TIEMPO,ROSE MERINO,ROMANCE,AUTOPUBLICADO,0,1,
ENTRE CENIZAS ROJAS,MAR PETRYK,ROMANCE,PLANETA,0,1,
CRIATURAS DESPIADADAS,J.T GEISSINGER,DARK ROMANCE,URANO,0,1,
SINNERS ANONYMOUS,SOMME SKETCHER,DARK ROMANCE,ZIG ZAG,0,1,
EL SONIDO DEL AMOR,ASHLEY POSTON,ROMANCE,URANO ,0,1,
LA MANSION DE RAYNE,HARLEY LAROUX,DARK ROMANCE,URANO ,0,1,
LO FRAGIL Y LO ETERNO,BRUNO PUELLES,FANTASIA,URANO,0,1,
SKATE INTO ME,MORINA ESTRINGANA,ROMANCE,ZIG ZAG,0,1,
UNA INFINIDAD DE SUEÑOS,MARA RUTHERFORD,ROMANTASY,ZIG ZAG,0,1,
"TU, YO Y NUESTRA COSTUMBRENDE ENREDAR LAS COSAS",NEREA CABALEIRO,ROMANCE,ZIG ZAG,0,1,
ESCUDO DE GORRIONES,DEVNEY PERRY,ROMANTASY,V&R EDITORAS,0,1,
RAZIEL,MAXIMILIANO AYLWIN,FANTASIA,AUTOPUBLICADO,0,1,
KHAOS,CHANYS A. WILSON,FANTASIA,AUTOPUBLICADO,0,1,
UN LUGAR FELIZ,EMILY HENRY,ROMANCE,URANO,0,1,
SUNRISE: EL ULTIMO AMANECER,ANNA TODD,ROMANCE,PLANETA,0,1,
UN BESO OSCURO,REBECCA ZANETTI,DARK ROMANCE,URANO,0,2,
LOS AMANTES DE PRAGA,ALYSON RICHMANN,HISTORICO,PLANETA,0,1,
NO ME LLAMES LOCA,GILRAEN EARFALAS,THRILLER,PLANETA,0,1,
VIAJANDO CON MEGAN MAXWELL,MEGAN MAXWELL,ROMANCE,PLANETA,0,1,
AMOR FUERA DE SERIE,NEREA PASCUAL,ROMANCE,PLANETA,0,0,
BLOOM,KEVIM PANETTA,,PLANETA,0,0,
TE RECETO OTRO GATO,SYOU ISHIDA,HEALING FICTION,PLANETA,0,4,
EL SECRETO DE LA NIÑERA,SIDONIE BONNEC,THRILLER,PLANETA,0,15,
CASA DE CORAZONES,SKYLA ARDNT,ROMANTASY,V&R EDITORAS,0,5,
NIGHTSHADE,AUTUMN WOODS,ROMANCE,PLANETA,0,12,
PUNK 57,PENELOPE DOUGLAS,DARK ROMANCE,PLANETA,0,10,
EL COLECCIONISTA DE HISTORIAS,ALYSON RICHMAN,HISTORICO,PLANETA,0,10,
SI FUERAMOS ETERNOS,EMMA GIL,ROMANCE,PLANETA,0,5,
HUNDIDA,COLLEN HOOVER,ROMANCE,PLANETA,0,2,
LA TEORIA DEL ODIO,IÑIGO AGUAS,ROMANCE,PLANETA,0,2,
EL FARO DE LOS AMORES DORMIDOS,ANDREA LONGARELA,ROMANCE,PLANETA,0,2,
REVOLVE,BAL KHABRA,ROMANCE,V&R EDITORAS,0,5,
