titulo,autor,genero,editorial,precio,stock,encuadernacion
DULCE PESADILLA,TRACY WOLFF,ROMANTASY,PLANETA,0,4,tapa dura
LA ECUACION DE LAS ALMAS GEMELAS,CHRISTINA LAUREN,ROMANCE,V&R EDITORAS,0,0,
EL AMOR NO TIENE REGLAS,TESSA BAILEY,ROMANCE,URANO,0,0,
EL AMOR Y LOS CLICHES,LYNN PAINTER,ROMANCE,PLANETA,0,0,
EL ARTE DE AHOGARSE,SARAH A. PARKER,FANTASIA,URANO,0,1,
EL ARTE DE SER NOSOTROS,INMA RUBIALES,ROMANCE,PLANETA,0,2,
EL AñO DE LA LANGOSTA,TERRY HAYES,THRILLER,PLANETA,0,0,
EL CANTO DE LOS AHOGADOS,KALIE CASSIDY,ROMANTASY,ZIG-ZAG,0,1,
EL COLOR DE LAS COSAS INVISIBLES,ANDREA LONGARELA,ROMANCE,PLANETAS,0,1,
EL CONVENTO,ALANA S. PORTERO,FICCION GENERAL,PLANETA,0,0,
EL CORAZON DEL REY,JENNIFER L. ARMENTROUT,ROMANTASY,URANO,0,0,
EL DIA QUE DEJO DE NEVAR EN ALASKA,ALICE KELLEN,ROMANCE,URANO,0,7,
EL FARO DE LOS AMORES DORMIDOS,ANDREA LONGARELA,ROMANCE,PLANETAS,0,0,
EL LOBO Y LA SERPIENTE,REBECCA ROBINSON,ROMANTASY,PLANETA,0,1,
EL MAGO DE OZ,L. FRANK BAUM,CLASICOS,ZIG-ZAG,0,0,
EL MISTERIO DE LA LAVANDERIA DE YEONNAM DONG,KIM JIYUN,FICCION GENERAL,PLANETA,0,8,
EL PAJARO Y EL CORAZON DE PIEDRA,CARISSA BROADBENT,ROMANTASY,PLANETA,0,1,
EL ESCLAVO (EL PRINCIPE CAUTIVO 1),C. S. PACAT,FANTASIA,URANO,0,1,
EL GUERRERO (EL PRINCIPE CAUTIVO 2),C. S. PACAT,FANTASIA,URANO,0,0,
EL REY (EL PRINCIPE CAUTIVO 3),C. S. PACAT,FANTASIA,URANO,0,0,
EL PROBLEMA DEL PARAISO,CHRISTINA LAUREN,ROMANCE,PLANETA,0,0,
EL RETORNO DE RACHEL PRICE,HOLLY JACKSON,THRILLER,PLANETA,0,1,
EL REY DE LA MASCARA OSCURA,JAVIERA VALENZUELA,ROMANTASY,PLANETA,0,0,
EL SECRETO DE LAS NUBES,ALYSON RICHMAN,HISTORICO,PLANETA,0,0,
EL SECRETO DEL RIO,SANDRA BARNEDA,FICCION GENERAL,PLANETA,0,0,
EL SEñOR NUMERO DESCONOCIDO,LYNN PAINTER,ROMANCE,URANO,0,1,
EL SOL TAMBIEN ES UNA ESTRELLA,NICOLA YOON,ROMANCE,PLANETA,0,0,
EL SUSURRO DE LAS ESTRELLAS,CRISTIN WILLIAMS,ROMANTASY,URANO,0,0,
