Título,Autor(a)
La teoría de Kim (La teoría de Kim #1),Jay Sandoval
Hija de La Frontera,Asier Moreno Vizuete
La asesina del rey (The Halfling Saga #1),Melissa Blair
Historia de un piano,Ramon Gener
Maestra del hierro (Bladesmith #2),Tricia Levenseller
La espada de los secretos (Bladesmith #1),Tricia Levenseller
Huérfanos del Errante (Tejesombras #1),Costa Alcalá
Mi Abuela Estuvo en Auschwitz,Marcos Alvo
Rey brujo (The Rising World #1),Martha Wells
El límite del cielo (Above the Black #1),Marc J. Gregson
Un cheddar para morirse (Colección Cozy Mistery #27),Korina Moss
Máscara de Gato,Francesca Zappia
Electro,VV. AA
Mil pasos al interior de la noche,Traci Chee
Los Brujos del fin del mundo,Miguel Ferrada
Los últimos días de Clayton and Co.,Francisca Solar
Algo fabuloso,Alexis Hall
Flash Fire (The Extraordinaries #2),T. J. Klune
Los Chicos de Promise,Nick Brooks
La casa Marionne (House of Marionne #1),J. Elle
Black Water Sister,Zen Cho
Dioses de Jade y Sombra,Silvia Moreno-García
"Sal Conmigo, Bryson Keller!",Kevin Van Whye
Serendipia Editorial. Un Amor Entre Páginas,Catalina Giselle Toloza Espinoza
La ladrona de libros (Edición Limitada),Markus Zusak
Una escalera hacia el cielo,John Boyne
El Grimm mortal (The Forest Grimm duology #2),Kathryn Purdie
La herencia de Orquídea Divina,Zoraida Cordova
La tejedora encantada,Alexandra Bracken
La biblioteca prohibida,Connis Dave
La parca infinita (Infinity Cycle #2),Adam Silvera
Renovarse o morir (Colección Cozy Mistery #29),Krista Davis
Rose in Chains (The Evermore Trilogy #1),Julie Soto
Jane Eyre (Alma Pocket),Charlotte Brontë
Orgullo y prejuicio (Alma Pocket),Jane Austen
Persuación (Alma Pocket),Jane Austen
"Anne, la de Tejados Verdes",Lucy Montgomery
"Anne, la de Avonlea",Lucy Montgomery
Dormir en un mar de Estrellas (Fractalverse #1),Christopher Paolini
Flores de verano,Tamiki Hara
La princesa de espinas (Dauntless Path #1),Intisar Khanani
Canción de sangre,Julia Ember
Bloodmarked (The Legendborn Cycle #2),Tracy Deonn
El maestro de los enigmas,Danielle Trussoni
Los jugadores,Carlos Fortea
Un ardiente verano,Eduard von Keyserling
Última (The Lotus Wars #3),Jay Kristoff
Imperio (The Lotus Wars #2),Jay Kristoff
Tormenta (The Lotus Wars #1),Jay Kristoff
El libro de las sombras,Jordi Ribolleda
Diario De Ana Frank (B),Anne Frank
Heat wave (The Extraordinaries #3),T. J. Klune
Un poder desatado (The Last Binding #3),Freya Marske
El coleccionista de brujas (Witch Walker #1),Charissa Weaks
"Dorado, violeta y verde menta (Deseos prohibidos #1)",Marta Santés
La Gaceta del Misterio (Stranger Times #1),C. K. Mcdonnell
Legendborn (The Legendborn Cycle #1),Tracy Deonn
Un hombre encantador (Stranger Times #2),C. K. Mcdonnell
El hada verde,Jamie Pacton
El circo de las luces,J.R. Dawson
El regreso de Moriarty (Charlotte Holmes Series #2),Brittany Cavallaro
El emporio escarlata,Jamie Pacton
Coronas de ceniza (Wings of Fury #2),Emily R.King
Alas de furia (Wings of Fury #1),Emily R.King
Truel1F3 (Lifel1K3 #3),Jay Kristoff
Dev1At3 (Lifel1K3 #2),Jay Kristoff
Lifel1K3 (Lifel1K3 #1),Jay Kristoff
El secreto de París,Bryn Turnbull
Tumba De Dioses (The Nevernight Chronicle #2),Jay Kristoff
Nuncanoche (The Nevernight Chronicle #1),Jay Kristoff
La bruja de Near,Victoria Schwab
Anhelos Inmortales (Flesh and False Gods #1),Chloe Gong
Immortal Dark (Immortal Dark Trilogy #1),Tigest Girma
La inquilina de Wildfell Hall (Novelas Eternas),Anne Brontë
Buscando a Dorothy,Elizabeth Letts
El último cupcake (Colección Cozy Mistery #30),Joanne Fluke
La guardiana de libros,Madeline Martin
La última cuentista,Donna Barbara Higuera
El gato de Schrödinger,Lily Del Pilar
"El sol, la luna y las estrellas",Marta Santés
Las reinas de Innis Lear (Innis Lear #1),Tessa Gratton
Lady Hotspur (Innis Lear #2),Tessa Gratton
El Hijo infinito (Infinity Cycle #1),Adam Silvera
The Measure: Las cuerdas del destino,Nikki Erlick
Enigma bajo las sábanas (Colección Cozy Mistery #23),Kate Carlisle
La esperanza de aquellos días,Georgia Hunter
La balada del arpa de hueso,Lucy Holland
Heroínas sencillas y perversas,Emily M. Danforth
Al otro lado del océano,Tahereh Mafi
Un reino entretejido (This Woven Kingdom #1),Tahereh Mafi
Finales Violentos (Secret Shanghai #2),Chloe Gong
Creo que tengo un problema,Daniel Aleman
Liberamos Las Estrellas (Arenas de Arawiya #2),Hafsah Faizal
El otro lado del cielo (The Other Side of the Sky #1),Amie Kaufman
Caelum,Gabriel Ángulo Vragas
La maldición radiante (Six Crimson Cranes #0),Elizabeth Lim
Los Secretos de Longdawn (Magia & Sentimientos #1),Ariel Holz
A la Caza del Fuego (Arenas de Arawiya #1),Hafsah Faizal
La Daga y el Fuego (The City of Fantome #1),Catherine Doyle
La voz del agua,Maggie Stiefvater
La Cocina de los Libros de Soyangri,Kim Jee-Hye
Top Secret,Sarina Bowen
Rey entre sombras (The Half King #1),Melissa Landers
Fable (Fable #1),Adrienne Young
Medianoche (Fable #2),Adrienne Young
Muerte en el Lovely Lady Club,Marie Rutkoski
Yerba Buena,Nina LaCour
En El Bosque de Las Historias Olvidadas,Shea Ernshaw
Una puerta en la sombra (Waxways #1),Scott Reintgen
No dejes entrar al bosque,C.G. Drews
Sentido y Sensibilidad (Alma Pocket),Jane Austen
El buen soldado (Alma Ilustrado),Ford Madox Ford
Agnes Gray (Alma Pocket),Anne Brontë
Sanditon,Jane Austen
El Valle del Miedo,Arthur Conan Doyle
Fathomfolk,Eliza Chan
El lado  perdido (The Half Bad Trilogy #3),Sally Green
Ocaso (La Academia #1),Nerea Llanes
La caída de las brujas (El vals de la bruja #3),Belén Martínez
Un cielo de sueños dorados,Laura Wood
Una furia de alas negras (Skybound #1),Alex London
Y vendrá la oscuridad (The Age of Darkness #1),Katy Rose Pool
Bajo la luz mortal (The Age of Darkness #3),Katy Rose Pool
La traición de Montverre,Bridget Collins
La orden del dragón,Jean Bennet
Un linaje oscuro (Las Crónicas de Ravenswood #1),Victoria Vílchez
La traición del halcón (The merciful crow #2),Margaret Owen
La misericordia del cuervo (The merciful crow #1),Margaret Owen
La página en llamas (La biblioteca invisible #3),Genevieve Cogman
La ciudad enmascarada (La biblioteca invisible #2),Genevieve Cogman
La biblioteca invisible (La biblioteca invisible #1),Genevieve Cogman
Hotel Magnifique,Emily J. Taylor
Juntos en la hoguera,Isabel Ibañez
Un corazón obstinado (The Tithenai Chronicles #1),Foz Meadows
Una gloria retorcida (This Woven Kingdom #3) ,Tahereh Mafi
Un hilo infinito (This Woven Kingdom #2),Tahereh Mafi
Una jaula de hilso dorados (Hilos de magia #2),Vanessa R. Migliore
La ciudad de la muerte (Hilos de magia #1),Vanessa R. Migliore
Dos chicas en los confines del mundo,Laura Brooke Robson
El elegido (Trilogía El contendiente #1),Taran Matharu
En busca del alba (Desafía la noche #2),Brigid Kemmerer
El elixir de flor de luna (Desafía la noche #1),Brigid Kemmerer
En tierras lejanas (Deverill Chronicles #5),Santa Montefiore
"Tinta, sangre, hermana, escriba",Emma Törzs
Un mundo oscuro (Shades of Rust and Ruin #1),A. G. Howard
Una promesa audaz y mortal (Cursebreakers #3),Brigid Kemmerer
Un corazón valiente y roto (Cursebreakers #2),Brigid Kemmerer
Una maldición oscura y solitaria (Cursebreakers #1),Brigid Kemmerer
La ciudad de bronce (The Daevabad Trilogy #1),Shannon Chakraborty
Forjemos estrellas de plata (Forjemos estrellas de plata #1),Brigid Kemmerer
El secreto del río (Secretos del Nilo #1),Isabel Ibañez
El reino de cobre (The Daevabad Trilogy #2),Shannon Chakraborty
El jardín de los malditos (Cursebreaker #1),Katy Rose Pool
El beso de las nocturnas,Kate Armstrong
Darkhearts,James L. Sutter
Caza de brujas,Stacey Thomas
Hechicera de huesos. El amanecer (Bone Grace #2),Kathryn Purdie
Hechicera de huesos (Bone Grace #1),Kathryn Purdie
La corte de la Alta Montaña (Las cinco coronas de Okrith #1),A.K. Mulford
Las heroínas,Melissa Grey
A mi propio ritmo,Stefany Ramírez
Muerte y fortuna (Pequeños ladrones #1),Margaret Owen
Mentiras a Medianoche (Forgotten Gods Series #1),Marie Rutkoski
Mis tardes en el pequeño café de Tokio,Michiko Aoyama
Aquellos Que Estamos Destinados a Encontrar,Joan He
El vals de la bruja (Edición limitada),Belén Martínez
Bestias y Bellas: Doce Cuentos de Hadas Tenebrosos,Soman Chainani
Cuando me llames por mi nombre,Tucker Shaw
Misterio en Egipto (Colección Cozy Mistery #22),Elizabeth Petters
Un sueño compartido,Anna-Marie McLemore
Las encorsetadoras (El lenguaje de la magia #1),Cari Thomas
Una Ilusion De Venganza,Ana Trigo
El Dios De Los Finales,Jacqueline Holland
Noctem: La Ciudad de los muertos,Alyssa Wees
La tejedora del viento (El reino de los vestigios #1),Julie Johnson
Zhara (Guardians of Dawn #1),S. Jae-Jones
Portador del sol (Asesina de dioses #2),Hannah Kaner
La última sonrisa en Sunder City (Serie Los archivos de Fetch Phillips #1),Luke Arnold
La isla de los dioses (La isla de los dioses #1),Amie Kaufman
Las señoritas del circo secreto,Constance Sayers
La cruel mirada de los dioses (Gods Beyond the Skies #1),Molly X. Chang
Una ventana a la oscuridad (The Shepherd King #1),Rachel Gillig
Una verdad mortal (The Last Binding #2),Freya Marske
Un delirio encantador,Shea Ernshaw
Se acabó el cuento (Colección Cozy Mistery #28),Elizabeth Penney
Nuevos comienzos. Un retelling de Mujercitas,Bethany C. Morrow
Imperio de Sombra y Tormento (Bilogía Hikari #1),Paula Gallego
La sociedad de los siete ojos,Derek Milman
La bailarina italiana,Kristy Cambron
El código secreto,Sara Ackerman
El Dios en Llamas (La guerra de la Amapola #3),R.F. Kuang
Luna de agua,Samantha Sotto Yambao
El bosque Birnam,Eleanor Catton
La pequeña librería de los secretos,Jenny Colgan
Una tormenta de Té,Hafsah Faizal
Las cortes inmortales,A. M. Strickland
Un rey de invierno,Juan Arcones
Un rey de verano,Juan Arcones
La ciudad colgante,Charlie N. Holmberg
Las chicas Grimrose,Laura Pohl
Muerte entre Muffins de Arándanos (Colección Cozy Mistery #25),Joanne Fluke
Heartbreak Point,Juan Arcones
Camino de huesos (De las cenizas #1),Demi Winters
Una alquimia oscura (Crónicas de los hermanos Vincentt #1),Kristen Cárcamo
El reino de los secretos (Graceling #3),Kristin Cashore
El último monstruo (Graceling #2),Kristin Cashore
Pétalos de papel (Edición Limitada),Iria G. Parente Selene M. Pascual
Given #9,Natsuki Kizu
Given #8,Natsuki Kizu
Given #6,Natsuki Kizu
Érase una vez un rebelde (Serie Calaveras Redimidas #2),Mary Jo Putney
Érase una vez un canalla (Serie Calaveras Redimidas #3),Mary Jo Putney
Las manos cálidas de los fantasmas (Edición Exclusiva),Katherine Arden
Humo Blanco,Tiffany D. Jackson
Reino de Garras (De las cenizas #2),Demi Winters
Amanecer de Onyx (The Sacred Stones Trilogy #1),Kate Golden
La canción de la cazadora,Lucy Holland
Las sirenas,Emilia Hart
Vuelo hacia la libertad,Alice Hoffman
Una marea oscura y letal,Allison Saft
Te receto un gato,Syou Ishida
Un cadáver en Baker Street (Colección Cozy Mistery #19),Vicky Delany
Un trato con el diablo,Gabe Cole Novoa
Reina del Estío,Carmen Romero Lorenzo
Ruinas y sombras,Andrés Astasio
Cartas de otro mundo,Emily J. Taylor
La pelirroja de Auschwitz,Nechama Birnbaum
La niña salvaje,Kristin Hannah
Fuera de circulación (Colección Cozy Mistery #24),Miranda James
Frutos (Larga vida al rey #3),Irene Morales
Nuestra desquiciada historia de amor,Jandy Nelson
Noche de caballeros,Olivie Blake
Victoria (Premio Planeta 2024),Paloma Sanchez Garnica
Érase una vez un soldado (Serie Calaveras Redimidas #1),Mary Jo Putney
El perro que seguía las estrellas,Solyom Anna
El circo de la noche,Erin Morgenstern
Las aventuras de Finlay Ashowan (De Brujas y banquetes #1),Emilie Nikota
Asalto Medici,Caitlin Schneiderhan
La vieja familia (La saga de los longevos #1),Eva García Sáenz de Urturi
10 cosas que nunca pasaron,Alexis Hall
Quitral,Javi Zanelli
Given #3,Natsuki Kizu
Given #2,Natsuki Kizu
Given #7,Natsuki Kizu
Given #5,Natsuki Kizu
Given #4,Natsuki Kizu
Recuerda aquella vez,Adam Silvera
Los ecos del silencio,Bridget Collins
Los amantes de Auschwitz,Keren Blankfeld
La decimotercera hija,Erin A. Craig
Blanca Navidad y café negro (Colección Cozy Mistery #20),Cleo Coyle
La clínica de los no muertos,Vivian Shaw
Mi nombre es Morgana,Sophie Keetch
The lighting thief (Percy Jackson and The Olimpyans #1),Rick Riordan
Coronas Malditas (Coronas Gemelas #2),Catherine Doyle
Un asesino en las puertas (Una llama en las cenizas #3),Sabaa Tahir
Lengua de dragones (A Language of Dragons #1),S.F. Williamson
Un verano en el campamento,Elena Malisova
Sonó un violín en Paris,María Reig
Cuentos victorianos de fantasmas para Navidad,VV. AA
El mago Allen,Ezer. A. Fuentes
La ladrona de la corona,Alexandra Valeria
El Libro Maldito de Láruna: Las Batallas Divinas,C.F. Pizant
Siluetas en la penumbra,C. Nozomi
Frankie,J.M. Gutsch & Maxim Leo
Less está perdido,Andrew Sean Greer
El Gato que Cuidaba las Bibliotecas,Sosuke Natsukawa
Leyendas de Kalomaar: El Medallón del Sol Negro,Alberto Rojas M.
Ápohnin. Destino Radiante,J. J. Torrico
En el oscuro corazón del bosque,Naomi Novik
Wisteria (Belladonna #3),Adalyn Grace
Todas las hijas perdidas (Todas las criaturas oscuras #3),Paula Gallego
Lady Macbeth,Ava Reid
La balada de tres lunas,Marta Morillo
Los malos,Melissa Albert
La fortaleza,Javi Zanelli
Los extraordinarios (The Extraordinaries #1),T. J. Klune
Final de capítulo (Colección Cozy Mistery #21),Eliabeth Penney
noviembre 1942,Peter Englund
Larga vida al mal,Long Live Evil
Alguien descubrió el pastel (Colección Cozy Mistery #17),Krista Davis
La guerra de Inge,Svenja O'Donnell
El misterioso caso del impostor del Titanic,Carmen Posadas
Países de origen,Javier Fuentes
Escape de Viena,Weina Dai Randel
El violín de Goebbels,Yoann Iacono
El complejo de Atlas (Seis de Atlas #3),Olivie Blake
El hijo del Reich,Rafael Tarradas Bultó
Sangre y espina (Pequeños ladrones #2),Margaret Owen
Al final muere el primero,Adam Silvera
La luna del cazador,Costa Alcalá
El bosque Grimm (The Forest Grimm duology #1),Kathryn Purdie
Mareas curiosas (Drowned Gods #1),Pascale Lacelle
El niño que perdió la guerra,Julia Navarro
La maldición del maestro (Crónicas de la torre #2) Reedición,Laura Gallego
La llamada de los muertos (Crónicas de la torre #3) Reedición,Laura Gallego
"Fenris, el elfo (Crónicas de la torre #4) Reedición",Laura Gallego
"Tuyo, con pasión (Retelling de Orgullo y Prejuicio)",Gabe Cole Novoa
Paint,Lee Hee young
Ryan y Avery,David Levithan
Por nosotros,Becky Albertalli
Espérame,Santa Montefiore
El trono de fuego (Las crónicas de Kane #2),Rick Riordan
La sombra de la serpiente (Las crónicas de Kane #3),Rick Riordan
Las hermanas Mitford,Marie Benedict
La ciudad del polvo de estrellas,Gerogia Summers
El secreto de Paris,Natasha Lester
Todas las reinas malditas (Todas las criaturas oscuras #2),Paula Gallego
Mi probable favorito,Juan Arcones
La guardiana de las habitaciones encantadas (Whimbrel House #1),Charlie N. Holmberg
En busca de la magia,F.T. Lukens
El Pequeño Estudio de los Recuerdos Perdidos,Sanaka Hiiragi
Atalanta,Jennifer Saint
Conjuro de luz (Los colores de la magia #3),Victoria Schwab
40 Abrigos y un Botón,Ivan Sciapeconi
Bajo la luz de las estrellas,Caleb Roehrigh
Jane Eyre - Edición Especial,Charlotte Brontë
Pesadilla,Hans Fallada
El mapa de Emily Wilde de las Tierras Extrañas (Emily Wilde Enciclopedia de Hadas #2 ),Heather Fawcett
La Batalla de Occidente,Eric Vuillard
La esencia de nuestras almas,Tasha Suri
Una detective con olfato (Colección Cozy Mistery #15),Krista Davis
A de asesinato (Colección Cozy Mistery #13),Miranda James
Elemental querida lectora (Colección Cozy Mistery #8),Vicki Delany
Una espia muy real (Colección Cozy Mistery #16),Rhys Bowen
Punto Letal (Colección Cozy Mistery #14),Sally Goldenbaum
Mi amiga Anne Frank,Hannah Pick-Goslar
Fraternity,Andy Mientus
Wonder. La Lección de August (Edición Ilustrada con Capítulos Extra),R. J. Palacio
El beso de la realeza,Lindsey Duga
Lo que Nunca te han Contado del día D,Pere Cardona
Cazadores de Nazis,Damien Lewis
Harry Potter y el Misterio del Príncipe (Harry Potter - Edición 20th Aniversario #6),J.K Rowling
Harry Potter y La orden del Fénix (Harry Potter - Edición 20th Aniversario #5),J.K Rowling
Harry Potter y El cáliz de fuego (Harry Potter - Edición 20th Aniversario #4),J.K Rowling
Harry Potter y las Reliquías de la Muerte (Harry Potter - Edición 20th Aniversario #7),J.K Rowling
Harry Potter y El prisionero de Azkaban (Harry Potter - Edición 20th Aniversario #3),J.K Rowling
Harry Potter y La cámara secreta (Harry Potter - Edición 20th Aniversario #2),J.K Rowling
Harry Potter y La piedra filosofal (Harry Potter - Edición 20th Aniversario #1),J.K Rowling
Proyecto Moisés,I. Biggi
Big red one. Un rojo división de choque,Samuel Füller
Las chicas desaparecidas de París,Pan Jenoff
La biblioteca de los sueños imposibles,Lin Rina
El niño del tren,Paolo Casadio
El castillo a través del espejo,Mizuki Tsujimura
La prisionera de Vallenia (The prison Healer #2),Lynette Noni
Orgullo y prejuicio (Edición Blanco y negro),Jane Austen
La batalla por los puentes,Antony Beevor
Dresde,Sinclair McKay
Últimos testigos,Svetlana Alexiévich
Ortiga y hueso,T. Kingfisher
Un Concilio de sombras (Los colores de la magia #2),Victoria Schwab
Una magia más oscura (Los colores de la magia #1),Victoria Schwab
Un capuchino mortal (Colección Cozy Mistery #4),Creo Coyle
Unas galletas de muerte (Colección Cozy Mistery #1),Joanne Fluke
Una muerte de libro (Colección Cozy Mistery #5),Miranda James
Mentiras encubiertas (Colección Cozy Mistery #7),Kate Carlisle
Crimen descatalogado(Colección Cozy Mistery #3),Miranda James
Asesinato a las finas hierbas (Colección Cozy Mistery #10),Krista Davis
El imperio de marfil (Temerario #4),Naomi Novik
Shanghái Inmortal,A.Y. Chao
Fuimos los afortunados,Georgia Hunter
Tríada (Memorias de Idhún #2),Laura Gallego
Panteón (Memorias de Idhún #3),Laura Gallego
La chica que jugaba al ajedrez en Auschwitz,Gabriella Saab
Misterio en el club de lectura (Colección Cozy Mistery #9),Ellery Adams
Años turbulentos (El café del Ángel #2),Anne Jacobs
Para el lobo (Wilderwood #1),Hannah Whitten
Promesas crueles (Letters of Enchantment #2),Rebecca Ross
El último refugio. Las hermanas judías que acompañaron en el final de sus días a Ana Frank.,Roxane Van Iperen
La hija de Auschwitz,Tova Friedman
Todo lo Perdido y Encontrado,Lucy Foley
Donde mora la oscuridad,A.B. Poranek
De parte de la princesa muerta,Kenize Mourad
Los frágiles hilos del poder,Victoria Schwab
El juego de los deseos,Meg Schaffer
Radio Silencio,Alice Oseman
El libro de Gothel,Mary Mcmyne
Roxy,Neal Shusterman
De vuelta a casa,Mauren Lee
Ritos de primavera,Carmen Romero Lorenzo
La dama de la guerra,Marie Benedict
A la sombra de Einstein,Marie Benedict
El corazón del guerrero del Sol,Sue Lynn Tan
La Sanadora de Zalindov (The prison Healer #1),Lynette Noni
Un mar sin estrellas,Erin Morgenstern
Asesina de dioses,Hannah Kaner
El secreto de Agatha,Marie Benedict
Las Aventuras de Amina Al-Sirafi,Chakraborty Shannon
La estratega de la Cítara,Joan He
El arte de la profecía (War Arts #1),Wesley Chu
El asesinato del señor Wickam,Claudia Gray
Una venganza para mi enemigo,Olivie Blake
La paradoja de Atlas (Seis de Atlas #2),Olivie Blake
Valientemente,Maggie Stiefvater
Un fuego eterno,Rebecca Ross
La partida final,John Donoghue
Las chicas de la radio,Eva Wagendorfer
El secreto de la librera de París,Lily Graham
La leyenda del Último Reino,Amelie Wen Zhao
La guerra de la Amapola (La guerra de la Amapola #1),R.F. Kuang
El manzano,Christian Berkel
Agnes Grey,Anne Brontë
El ejército de Hitler,Omer Bartov
Yumi y el pintor de pesadillas,Brandon Sanderson
Un Final Llamado Inés,Daniela Viviani
Víctor 1907,Daniela Viviani
Un Príncipe Encantador,Alison Cochrun
Las Mujeres Weyward,Emilia Hart
Portofino 1926,J. P. O Connell
Todas las Vidas de Eva Ki,Cristian Acevedo
El Libro de Cocina de la Señorita Eliza,Annabel Abbs
La chica que nos devolvió el mar,Adrienne Young
La enciclopedia de hadas de Emily Wilde (Emily Wilde Enciclopedia de Hadas #1 ),Heather Fawcett
Una lección de tinta y venganza,Victoria Lee
El fin de la Historia,Sarah Dessen
Los secretos del Kremlin,Bernard Lecomte
El filo de la navaja,Somerset Maugham
"Mañana, y Mañana, y Mañana",Gabrielle Zevin
El caso Christie,Nina de Gramont
Historias de Esperanza,Heather Morris
El Secreto Fabergé,Charles Belfoure
Bromance. Club de lectura para caballeros,Lyssa Kay Adams
Cielos rebeldes (Rebel Skies #1),Ann Sei Lin
La princesa del Champán,Anette Fabiani
Un reino por teatro (Shadow Players #2),Heidi Heilig
Una musa de fuego (Shadow Players #1),Heidi Heilig
Coronas Gemelas (Coronas Gemelas #1),Katherine Webber
La mujer de blanco,William Wilkie Collins
Ella que Llegó a ser el sol,Shelly Parker Chan
¿Y si Fuéramos Nosotros?,Becky Albertalli
El diccionario de las palabras olvidadas,Pip Williams
La naturaleza de las brujas,Rachel Griffin
Tras la sombra de un submarino,Robert Kurson
El agua de la vida,Sara Gruen
La luz en lugares ocultos,Sharon Cameron
Las chicas del gueto,V.S. Alexander
Las rosas olvidadas,Martha Hall Kelly
Las mujeres de la casa de las lilas,Martha Hall Kelly
Centinela de los sueños,Emilio Lara
Tiempo de secretos en Deverill (Deverill Chronicles #4),Santa Montefiore
El último secreto de los Deverill (Deverill Chronicles #3),Santa Montefiore
Las hijas del castillo Deverill (Deverill Chronicles #2),Santa Montefiore
Canciones de amor y guerra (Deverill Chronicles #1),Santa Montefiore
La asesina y el príncipe (Graceling #1),Kristin Cashore
El corazón de la bruja,Genevieve Gornichec
Tiempo de Mujeres,Carmen Korn
Hijas de una nueva era,Carmen Korn
Las cuatro amigas,Carmen Korn
La otra mujer,Daniel Silva
La sonrisa del demonio,Tessa Gratton
Los claustros,Katy Hays
En el corazón del bosque,Kristin Harmel
La viajera nocturna,Armando Lucas Correa
Abejas Grises,Andrei Kurkov
La lista de la suerte,Rachael Lippincott
Los rebeldes,Sándor Marai
La luz después de la guerra,Anita Abriel
Hijas de la resistencia,Judy Batalion
La única elegida,Kiersten White
La paga de los soldados,William Faulkner
El puente de Clay,Markus Zusak
Ha vuelto,Timur Vermes
Mi Ucrania,Victoria Belim
Lennox,Craig Russell
En nuestros corazones éramos gigantes,Yehuda Koren
Hhhh,Laurent Binet
La voz de los valientes,Rafael Tarradas Bultó
"Yo, Dita Kraus, La bibliotecaria de Auschwitz",Dita Kraus
Todas las piezas rotas,John Boyne
Las cocineras de Fenley,Jennifer Ryan
Las costureras de Auchwitz,Lucy Adlington
El chico sobre la caja de madera,Leon Leyson
Una librería en Berlín,Francoise Frenkel
Los nazis sabían mi nombre,Magda Hellinger Maya Lee
Un océano entre nosotros,Gill Thompson
Cuando el mundo era joven,Carmen Korn
La mujer de la estrella azul,Pan Jenoff
Las hijas de la guerra,Brigitte Riebe
La chica que escapó de Auschtwitz,Ellie Midwood
La postal,Anne Berest
La enfermera de Auschwitz,Anna Stuart
La guerra de Courtney,Wilbur Smith
Antes de que se enfríe el café,Toshizaku Kawaguchi
Less,Andrew Sean Greer
La vida privada de Stalin,Lilly Marcou
El sol y la mentira,Iria G. Parente Selene M. Pascual
Secretos de la luna llena 3:Despedidas [Reedición],Iria G. Parente Selene M. Pascual
Una tormenta de fuego (Suspiro negro #1),Paula Gallego
Una tormenta de cenizas (Suspiro negro #2),Paula Gallego
Príncipe de la traición,Paula Gallego
Secretos de la luna llena 2:Encuentros [Reedición],Iria G. Parente Selene M. Pascual
Secretos de la luna llena 1: Alianzas [Reedición],Iria G. Parente Selene M. Pascual
La flor y la muerte (Olympus #1),Iria G. Parente Selene M. Pascual
La maldición de los sueños,Rebecca Ross
Así que esto no es un felices para siempre,F.T. Lukens
Tess del camino,Rachel Hartman
La última cazadora,Kiersten White
El bosque de las cosas perdidas,Shea Ernshaw
Al final mueren los dos,Adam Silvera
Todos somos villanos,M.L. Rio
Cartas desde el olvido,Anna Ellory
Breve Historia de Inglaterra (Simon Jenkins),Simon Jenkins
Seis Grullas (Six Crimson Cranes #1),Elizabeth Lim
El Clan de los Bombarderos,Malcolm Gladwell
La Traductora,Jose Gil Romero
Ana de Ingleside (Ana de las tejas verdes #6),Lucy Montgomery
Ana y la casa de sus sueños (Ana de las tejas verdes #5),Lucy Montgomery
Ana de álamos ventosos (Ana de las tejas verdes #4),Lucy Montgomery
Ana de la Isla (Ana de las tejas verdes #3),Lucy Montgomery
Ana de Avonlea (Ana de las tejas verdes #2),Lucy Montgomery
Piratas del firmamento,Adriana Criado
El Código Rosa,Kate Quinn
Los Lazos de la Tierra,Charlotte Link
Esa vida que imaginamos,Florencia Eluchans
Hotel Savoy. El periplo de una familia,Maxim Wahl
Hotel Savoy. El destino de una familia,Maxim Wahl
La maldición de Excalibur,Kiersten White
Una mujer sin importancia,Sonia Purnell
El viaje de Cilka,Heather Morris
Desviación,Luce d'Eramo
Ardenas 1944,Antony Beevor
La agenda roja,Sofia Lundberg
Soldados del Tercer Reich,Sönke Neitzel
Los aromas perdidos,Charlotte Link
Auschwitz,Esther Mucznik
Los niños de Irena,Tilar J. Mazzeo
El silencio de la ciudad blanca (Trilogía de la Ciudad Blanca #1),Eva García Sáenz de Urturi
El libro de los portales,Laura Gallego
El pintor de Auschwitz,Jacobo Celnik
Los Custodios del Tiempo,Alyson Richman
Monte Cassino,Sven Hassel
Operación Castigo,Max Hastings
Breve historia de Inglaterra (Duncan Townson),Duncan Townson
El italiano,Arturo Pérez-Reverte
Los señores del tiempo (Trilogía de La Ciudad Blanca #3),Eva García Sáenz de Urturi
La Primera Guerra Mundial,
El saboteador,Andrew Gross
Pretérito imperfecto,Nieves Concostrina Villarreal
La última descendiente,Rick Riordan
Las invitadas secretas,Benjamin Black
Hitler y el nuevo orden mundial,Abel Basti
Leningrado,Brian Moynahan
El jardín italiano,Alyson Richman
El Ladrón Nocturno,E. W. Hornung
Los ritos del agua (Trilogía de la Ciudad Blanca #2),Eva García Sáenz de Urturi
La Resistencia (Memorias de Idhún #1),Laura Gallego
Los cuatro vientos,Kristin Hannah
Chiripas de la Historia,Gonzalo Ugidos
El Código Da Vinci,Dan Brown
Arsene Lupin y la aguja hueca,Maurice Leblanc
La caída del Muro de Berlín,Ricardo Mart
Verity. La Sombra de un Engaño,Colleen Hoover
El Día más largo,Cornelius Ryan
Hijos de nazis,Tania Crasnianski
La Segunda Guerra Mundial,Martin Gilbert
El oscuro descenso de Elizabeth Frankenstein,Kiersten White
Ultimos dias en Berlin,Paloma Sanchez Garnica
Los últimos días de nuestros padres,Joël Dicker
Un tiempo nuevo (El café del Ángel #1),Anne Jacobs
Hijos de la Stasi,David Young
El barco de los muertos (Magnus Chase #3),Rick Riordan
Liquidad Paris,Sven Hassel
La matanza de Rechnitz,Sacha Batthyany
Peter Pan,J. M. Barrie
El último tren a la libertad,Meg Waite Clayton
Lágrimas en el mar,Ruta Sepetys
El vagón de los huérfanos,Pam Jenoff
"Menudas historias de la historia : anécdotas, despropósitos, algaradas y mamarrachadas de la humanidad",Nieves Concostrina
Violetas de Marzo,Philip Kerr
