Título,Autor(a)
La Mansión de los Chocolates (La mansión de los chocolates #1),Maria Nikolai
La Marca de Atenea (Los héroes del Olimpo #3),Rick Riordan
Bluebells,Francisca Solar
El extranjero,Albert Camus
La habitación de Giovanni,James Baldwin
Placeres mortales,Belén Martínez
In Memoriam,Alice Winn
El hijo de Neptuno (Los héroes del Olimpo #2),Rick Riordan
Envuelto en tu noche,Mori Moyori
Jaulas de seda (Marabilia #4),Iria G. Parente Selene M. Pascual
La flor que parecía bailar,Saki Tsukahara
El chico y el perro,Seishu Hase
La casa en el mar más azul,T. J. Klune
Asesinato entre libros (Colección Cozy Mistery #2),Kate Carlisle
El alma del brujo (El vals de la bruja #2),Belén Martínez
Enebro & espina,Ava Reid
La luz de la esperanza,Alan Hlad
Joy #2,Etsuko
Bajo la puerta de los susurros,T. J. Klune
Lo que nos queda de mundo,Erik J. Brown
Aquella vez en Berlín,María José Moreno
Historias que dejan huellas - Quédense en la trinchera y luego corran,John Boyne
El eco del destino (Time Keeper #1),Iria G. Parente Selene M. Pascual
Liberación,Imogen Kealey
Nunca me abandones,Kazuo Ishiguro
La traidora,V.S. Alexander
El pacifista,John Boyne
Espíritus del Inframundo #3,Hiromu Arakawa
Espíritus del Inframundo #2,Hiromu Arakawa
Espíritus del Inframundo #1,Hiromu Arakawa
La Segunda Guerra Mundial (II),Sir Winston Churchill
La casa alemana,Annette Hess
La coleccionista,Marie Benedict
Lecciones de Química,Bonnie Garmus
Qualia bajo la nieve,Kanna Kii
Dear Gene #1,Kaya Azuma
La única mujer,Marie Benedict
Rivales Divinos (Letters of Enchantment #1),Rebecca Ross
El Club de Lectura del Refugio Antiaéreo,Annie Lyons
Trenza del mar Esmeralda,Brandon Sanderson
El príncipe de los caballos,Stacy Gregg
Chicas de nieve y cristal,Melissa Bashardoust
Heartstopper 5,Alice Oseman
Rumspringa,Kaya Azuma
Dominación,C. J. Sansom
El manual del adulto funcional,María José Castro
La niña polaca,Mónica Rojas
La loba y el leñador,Ava Reid
La Traición de Camelot,Kiersten White
La ciudad al atardecer. El país de los cerezos,Fumiyo Kouno
Los nombres prestados,Verónica Sukaczer
Restart After Come Back Home,Cocomi
Restart After Growing Hungry,Cocomi
"¡No te rindas, Nakamura!",Syundei
La cinta roja,Lucy Adlington
La hija de la diosa de la luna,Sue Lynn Tan
Los Doce Dias de Dash & Lily,Rachel Cohn
Héroes de la aviación Que Cambiaron el Mundo,Jade Sarson
Ve y pon un Centinela,Harper Lee
Tweeling #1,Emina Himesama
Has llamado a Sam,Dustin Thao
La Escuela de las Novias Nazis,Aimie K. Runyan
Relatos de Torrealta,Danitza Eterovic
La temporada de las apariciones,VV. AA
Los Fantasmas Favoritos de Roald Dahl,Roald Dahl
Matar a un ruiseñor,Harper Lee
Imperio,Iria G. Parente Selene M. Pascual
Buenos presagios,Neil Gailman
La Guerra de los Mundos,Wells H.G
Luisa 1912,Daniela Viviani
Los secretos de la biblioteca de la Quinta Avenida,Fiona Davis
Ríos de Londres,Ben Aaronovitch
La Guerra de la Pólvora (Temerario #3),Naomi Novik
Heroes de los Inventos Que Cambiaron el Mundo,Pete Katz
La modista de paris,Georgia Kaufmann
La pequeña librería de los corazones solitarios,Annie Darling
El Vals de la Bruja (El vals de la bruja #1),Belén Martínez
Cuando Hitler robó el conejo rosa,Judith Kerr
Los enclaves dorados,Naomi Novik
La Joven del Pelo Rojo,Buzzy Jackson
El gato que amaba los libros,Sosuke Natsukawa
La Batalla de las Ardenas,Wayne Vansant
Normandía: Una Historia Gráfica del Día-D,Wayne Vansant
El Bombardeo de la Alemania Nazi (Historia Gráfica),Wayne Vansant
El Barón Rojo (Historia Gráfica),Wayne Vansant
Héroes de la Ciencia que Cambiaron el Mundo,Dave Shephard
El chico de las estrellas (Edición Ilustrada),Chris Pueyo
Héroes del espacio,Vince Sohn
Por qué nos encantan los gatos,Mónica Marelli
El último graduado,Naomi Novik
Invisible,Eloy Moreno
Una educación mortal,Naomi Novik
Cumbres borrascosas,Emily Brontë
Hierba,Keum Suk Gendry-Kim
La espera,Keum Suk Gendry-Kim
Joy #1,Etsuko
El adversario,Emmanuel Carrère
El ciclo del eterno emperador,Laura Gallego
Las batallas silenciadas,Nieves Muñoz
